"%s is not supported currency.","%s não é uma moeda permitida."
"Accept","Aceitar"
"Basic","Básico"
"Cannot retreive rate from strikeirion.","Não foi possível obter taxa do strikeirion."
"Cannot retrieve rate from %s to %s","Não foi possível obter taxa do %s para %s"
"Check all email servers","Confira todos servidores de e-mail"
"Complete","Completo"
"Country/Region/Postal code combination","Combinação de País/Região/CEP"
"Customer Tax Class","Classe de imposto do cliente"
"Email Verification","Verificação de e-mail"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","Endereço de e-mail não pode ser verificado. Por favor, confira novamente e tenha certeza que seu endereço de e-mail foi digitado corretamente."
"Enable US address verification","Habilitar verificação de endereço US"
"Enable email verification","Habilitar verificação de e-mail"
"Enable foreign exchange rate","Habilitar taxa de câmbio"
"Enable global address verification","Habilitar verificação global de endereço"
"Enable sales and use tax","Habilitar vendas e usar impostos"
"Error Email Recipient","Destinatário de e-mail de erro"
"Error Email Sender","Remetente de e-mail de erro"
"Error Email Template","Modelo de e-mail de erro"
"Error address action","Ação do erro de endereço"
"Foreign Exchange Rates","Taxas de câmbio"
"Global Address Verification","Verificação global de endereço"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Se tipo está completo e CEP pertence a multiplas taxas de impostos, escolha cobrar a taxa mínima de imposto ou taxa máximo de imposto."
"Invalid email address","Endereço de e-mail inválido"
"Maximum tax rate","Taxa máximo de imposto"
"Minimum tax rate","Taxa mínima de imposto"
"Password","Senha"
"Pop up warning and accept","Aviso pop-up e aceitar"
"Product Tax Class","Classe de imposto de produto"
"Reject","Rejeitar"
"Sales and Use Tax","Vendas e usar impostos"
"Sales and Use Tax Type","Tipo de vendas e usar impostos"
"Strikeiron","Strikeiron"
"Strikeiron Config","Configuração de strikeiron"
"Strikeiron Section","Seção de strikeiron"
"Strikeiron foreign exchange rate is disabled","Taxa de câmbio strikeiron está desabilitado"
"Tax","Imposto"
"There is an error in retrieving tax rate. Please contact us","Existe um erro ao obter taxa de imposto. Por favor, contate-nos"
"There is an error in verifying an email. Please contact us.","Existe um erro ao verificar um e-mail. Por favor, contate-nos."
"There is no more hits remaining for the foreign Exchange Rate Service.","Não existe mais hits restantes para o serviço de taxa de câmbio."
"There is no response back from Strikeiron server","Não existe resposta de retorno do servidor de strikeiron"
"US Address Verification","Verificação de endereço US"
"Undetermined email action","Ação indeterminada de e-mail"
"Use","Usar"
"User ID","ID do usuário"
"Verify address in admin","Verificar endereço na administração"
"Verify email in admin","Verificar e-mail na administração"
