"Access denied.",Acces interzis.
"Can not find webservice adapter.",Nu se poate găsi adaptorul pentru serviciul web.
"Client Session Timeout (sec.)",Așteptare Sesiune Client (sec.)
"Default Response Charset",Set Caractere Răspuns Implicit
"Email",E-mail
"Enable WSDL Cache",Activare Cache WSDL
"General Settings",Setari Generale
"Invalid webservice adapter specified.",Adaptor serviciu web specificat invalid.
"Invalid webservice handler specified.",Handler serviciu web specificat invalid.
"Magento Core API",API Nucleu Magento
"Magento Core API Section",Secțiune API Nucleu Magento
"SOAP/XML-RPC - Roles",SOAP/XML-RPC - Roluri
"SOAP/XML-RPC - Users",SOAP/XML-RPC - Utilizatori
"Unable to login.",Imposibil de logat.
"User Name",Nume Utilizator
"WS-I Compliance",Compatibilitate WS-I
"Web Services",Servicii Web
"Your account has been deactivated.",Contul dvs. a fost dezactivat.
