"%s and greater",%s și mai mari
"<strong>%d item(s)</strong> were found using the following search criteria",<strong>%d articol(e)</strong> au fost găsite folosind următoarele criterii de căutare
"Advanced Search",Căutare avansată
"Advanced Search Form",Formular Căutare Avansată
"Advanced Search Result",Rezultat Căutare Avansată
"All",Toate
"Applies for ""Like"" search type only.",Se aplică pentru numai tipul de căutare "Ca și".
"Apply Layered Navigation if Search Results are Less Than",Aplicare Navigație Stratificată dacă Rezultatele Căutării sunt Mai Puțin De
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.",Schimbare setare atribut referitoare la Indexul de Căutare. Rulați procesul <a href="%s">Reconstruire Index Căutare</a>.
"Autogenerated Site Map",Hartă Site Autogenerată
"Catalog Advanced Search",Căutare Avansată Catalog
"Catalog Search",Căutare Catalog
"Catalog Search Index",Index Căutare Catalog
"Don't see what you're looking for?",Nu găsiți ce căutați?
"Enter ""0"" to enable layered navigation for any number of results.",Introduceți "0" pentru a activa navigația stratificată pentru orice număr de rezultate.
"Go",Mergeți
"Go to Home Page",Mergeți la Pagina Principală
"Grid",Grilă
"Home",Pagina Principală
"List",Listă
"Maximum Query Length",Lungime Maximă Interogare
"Maximum Query Words Count",Nr. Maxim Cuvinte Interogare
"Maximum Search query length is %s. Your query was cut.",Lungimea maximă pentru Interogările de Căutare este %s. Interogarea dvs. a fost trunchiată.
"Maximum words count is %1$s. In your search query was cut next part: %2$s.",Numărul maxim de cuvinte este %1$s. În interogarea dvs. de căutare a fost trunchiată secțiunea: %2$s.
"Minimal Query Length",Lungime Minimă Interogare
"Minimum Search query length is %s",Lungimea Minimă de Căutare este %s
"Modify your search",Modificați căutarea
"No",Nu
"No items were found using the following search criteria.",Nu s-a găsit niciun articol folosind următoarele criterii de căutare.
"Please specify at least one search term.",Specificați cel puțin un termen de căutare.
"Popular Search Terms",Termeni de Căutare Populari
"Quick Search Form",Formular Căutare Rapidă
"Rebuild Catalog product fulltext search index",Reconstruire index căutare text complet produse Catalog
"Relevance",Relevanță
"Results",Rezultate
"Search",Căutare
"Search Settings",Setări Căutare
"Search Terms",Termeni de Căutare
"Search Type",Tip de Căutare
"Search entire store here...",Căutare în tot magazinul...
"Search results for '%s'",Rezultate căutare pentru '%s'
"Search results for: '%s'",Rezultate căutare pentru: '%s'
"Search:",Căutare:
"Specified date is invalid.",Data specificată este invalidă.
"Subscribe to Feed",Abonați-vă la Feed
"There are no search terms available.",Nu există termeni de căutare disponibili.
"Yes",Da
"Your search returns no results.",Căutarea dvs. nu a returnat niciun rezultat.
"up to %s",până la %s
