"%s was added to your shopping cart.",%s a fost adăugat la coșul de cumpărături
"%s was updated in your shopping cart.",%s a fost actualizat în coșul dvs. de cumpărături.
"* Required Fields",* Câmpuri obligatorii
"Add New Address",Adăugare Adresă Nouă
"Add New Condition",Adăugare Condiție Nouă
"Add coupon code for shopping cart",Adăugare cod cupon pentru coș cumpărături
"Add gift messages to shopping cart",Adăugare mesaje cadou la coș cumpărături
"Add product to shopping cart",Adăugare produs la coș cumpărături
"Add product(s) to shopping cart",Adăugare produs(e) la coș cumpărături
"Add to Cart",Adăugare în Coș
"Add to Compare",Adăugare la Comparație
"Add to Wishlist",Adăugare Listă Dorințe
"Additional Product Info",Informații Adiționale Produs
"Address",Adresa
"Address %s of %s",Adresa %s din %s
"After Adding a Product Redirect to Shopping Cart",Redirecționare la Coș Cumpărături După Adăugarea unui Produs
"Allow Guest Checkout",Acceptă Finalizare Comandă Vizitatori
"Already registered?",Sunteți deja înregistrat?
"An error occurred in the process of payment",Eroare în timpul procesului de plată
"An error occurred while deleting this condition.",Eroare la ștergerea acestei condiții.
"An error occurred while saving this condition.",Eroare la salvarea acestei condiții.
"Apply Coupon",Aplicare Cupon
"Are you sure you would like to remove this item from the shopping cart?",Sunteți sigur că vreți să ștergeți produsul din coș?
"Back",Înapoi
"Back to Billing Information",Înapoi la Informații Facturare
"Back to Select Addresses",Înapoi la Selectare Adrese
"Back to Shipping Information",Înapoi la Informații Expediere
"Back to Shopping Cart",Înapoi la Coș Cumpărături
"Based on your selection, you may be interested in the following items:","Luând în considerare selecția dvs., s-ar putea să fiți interesat și de următoarele articole:"
"Billing Address",Adresă Facturare
"Billing Information",Informații Facturare
"Billing Information - %s",Informații Facturare - %s
"Cancel Coupon",Anulare Cupon
"Cannot add item to the shopping cart.",Nu se poate adăuga articol la coș cumpărături.
"Cannot add the item to shopping cart",Nu se poate adăuga articolul la coșul de cumpărături
"Cannot add the item to shopping cart.",Nu se poate adăuga articolul la coșul de cumpărături
"Cannot apply the coupon code.",Nu se poate aplica codul cupon.
"Cannot configure product.",Nu se poate configura produsul.
"Cannot open the overview page",Nu se poate deschide pagina de ansamblu
"Cannot process the item.",Nu se poate procesa articolul.
"Cannot remove the item.",Nu se poate elimina articolul.
"Cannot update shopping cart.",Nu se poate actualiza coșul de cumpărături.
"Cannot update the item.",Nu se poate actualiza articolul.
"Card Verification Number Visual Reference",Referință Vizuală Număr Verificare Card
"Cart Product API",API Produs Coș
"Cart Subtotal:",Subtotal:
"Change",Schimbare
"Change Billing Address",Schimbă Adresă Facturare
"Checkbox Text",Text Casetă
"Checkout",Finalizare Comandă
"Checkout Conditions",Condiții Finalizare Comandă
"Checkout Method",Metodă Finalizare Comandă
"Checkout Options",Opțiuni Finalizare Comandă
"Checkout Progress Wrapper",Wrapper Progres Finalizare Comandă
"Checkout Section",Secțiune Finalizare Comandă
"Checkout Terms and Conditions",Termeni și Condiții Finalizare Comandă
"Checkout as Guest",Finalizare Comandă ca Vizitator
"Checkout as a Guest or Register",Finalizare Comandă ca Vizitator sau Înregistrare
"Checkout with Multiple Addresses",Finalizare Comandă cu Adrese Multiple
"City",Oraș
"Clear Shopping Cart",Golire Coș Cumpărături
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.",Click <a href="%s" onclick="this.target=\'_blank\'">aici pentru a lista</a> o copie a confirmării comenzii dvs.
