" or ",sau
"'%value%' appears to be a DNS hostname but cannot extract TLD part",'%value%' pare să fie un nume gazdă DNS dar nu se poate extrage partea TLD
"'%value%' appears to be a DNS hostname but cannot match TLD against known list",'%value%' pare să fie un nume gazdă DNS dar nu se poate potrivi TLD cu lista cunoscută
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'",'%value%' pare să fie un nume gazdă DNS dar nu se poate potrivi cu schema nume gazdă pentru TLD '%tld%'
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position",'%value%' pare să fie un nume gazdă DNS dar conține o liniuță într-o poziție invalidă
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded",'%value%' pare să fie un nume gazdă DNS dar notația punycode dată nu poate fi decodată
"'%value%' appears to be a local network name but local network names are not allowed",'%value%' pare să fie un nume de rețea locală dar numele de rețele locale sunt permise
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' pare să fie o adresă IP, dar adresele IP nu sunt permise"
"'%value%' does not appear to be a valid local network name",'%value%' nu pare să fie un nume valid de rețea locală
"* Required Fields",* Câmpuri Obligatorii
"ALL GROUPS",TOATE GRUPURILE
"Account Dashboard",Panou Control Cont
"Account Information",Informații Cont
"Account Sharing Options",Opțiuni Partajare Cont
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.",Confirmarea contului e obligatorie. Verificați-vă e-mail-ul pentru legătura de confirmare. Pentru a retrimite e-mail-ul de confirmare vă rugăm <a href="%s">faceți click aici</a>.
"Action",Acțiune
"Add New Address",Adăugare Adresă Nouă
"Add New Customer",Adăugare Client Nou
"Add New Customer Group",Adăugare Grup Clienți
"Added From",Adăugat Din
"Additional Address Entries",Intrări Adrese Suplimentare
"Address",Adresă
"Address Book",Agendă
"Address Books",Agende
"Address Information",Informații Adresă
"Address Templates",Șabloane Adresă
"Addresses",Adrese
"Admin",Administrator
"All",Toate
"All Store Views",Toate Vitrinele
"All countries",Toate țările
"Always optional.","Always optional."
"Amount",Sumă
