"-- Please select --","-- Alegeti --"
"Allowed currencies","Valute acceptate"
"Base currency","Base currency"
"Cannot retrieve rate from %s","Cannot retrieve rate from %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Continua &raquo;"
"Country","Country"
"Country Api","Country Api"
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Currency","Valuta"
"Currency Options","Optiuni valuta"
"Currency Setup","Setari valuta"
"Currency Update Warnings","Alerte actualizari valute"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Valuta standard afisata"
"Directory","Directory"
"Enabled","Activat"
"Error Email Recipient","Destinatar email erori"
"Error Email Sender","Expeditor email erori"
"Error Email Template","Template email erori"
"FATAL ERROR:","EROARE FATALA. I-auzi:"
"Frequency","Frecventa"
"Installed Currencies","Valute instalate"
"Invalid Import Service Specified","Invalid Import Service Specified"
"Invalid country code: %s","Cod tara nevalid: %s"
"Invalid rates received","Cursuri primite nevalide"
"Invalid target currency","Invalid target currency"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Scheduled Import Settings"
"Select Your Currency","Alege valuta"
"Service","Service"
"Start Time","Start Time"
"State/Province","Judet"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Unable to initialize import model"
"Undefined rate from ""%s-%s""","Undefined rate from ""%s-%s"""
"WARNING:","ATENTIE:"
"Webservicex","Webservicex"
"Your current currency is: %s","Valuta ta preferata este: %s"
