"Attempt to add an invalid object","Attempt to add an invalid object"
"Attribute '%s' used in configurable products.","Attribute '%s' used in configurable products."
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Attribute used in configurable products.","Attribute used in configurable products."
"Attribute with the same code","Attribute with the same code"
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Default option value is not defined","Default option value is not defined"
"EAV types and attributes","EAV types and attributes"
"Entity collection expected","Entity collection expected"
"Entity collections expected","Entity collections expected"
"Entity is not initialized","Entity is not initialized"
"Failed to load node %s from config.","Failed to load node %s from config."
"Frontend label is not defined","Frontend label is not defined"
"Invalid alias, already exists in joined attributes","Invalid alias, already exists in joined attributes"
"Invalid attribute name: %s","Invalid attribute name: %s"
"Invalid attribute requested: %s","Invalid attribute requested: %s"
"Invalid attribute type","Invalid attribute type"
"Invalid character encountered in increment ID: %s","Invalid character encountered in increment ID: %s"
"Invalid data object key","Invalid data object key"
"Invalid entity specified","Invalid entity specified"
"Invalid entity supplied","Invalid entity supplied"
"Invalid entity supplied: %s","Invalid entity supplied: %s"
"Invalid entity type","Invalid entity type"
"Invalid entity_id, skipping the record","Invalid entity_id, skipping the record"
"Invalid entity_type specified: %s","Invalid entity_type specified: %s"
"Invalid foreign key","Invalid foreign key"
"Invalid joined fields","Invalid joined fields"
"Invalid store specified","Invalid store specified"
"Joined field or attribute expression with this alias is already declared","Joined field or attribute expression with this alias is already declared"
"Joined field with this alias (%s) is already declared","Joined field with this alias (%s) is already declared"
"Joined field with this alias is already declared","Joined field with this alias is already declared"
"Loaded %d records","Loaded %d records"
"No","Nu"
"No options found in config node %s","No options found in config node %s"
"Problem loading a record, aborting. Error: %s","Problem loading a record, aborting. Error: %s"
"Problem loading the collection, aborting. Error: %s","Problem loading the collection, aborting. Error: %s"
"Problem saving a record, aborting. Error: ","Problem saving a record, aborting. Error: "
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Saved ","Salvat "
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","The attribute code '%s' is reserved by system. Please, try another attribute code."
"Unknown parameter","Parametru necunoscut. Mai baga o fisa."
"Valid store_id is expected!","Un store_id valid ar fi excelent!"
"Value of attribute ""%s"" must be unique","Valoarea atributului ""%s"" trebuie sa fie unica"
"Wrong attribute ID","ID atribut gresit"
"Wrong attribute group ID","ID grup atribute gresit."
"Wrong attribute set ID","ID set atribute gresit. Naspa tare."
"Wrong entity ID","Ai pus-o. ID entitate gresit."
"Yes","Da"
