"* Select shipping method",* Selectare metodă expediere
"2Day",2Zile
"2nd Day Air",A2-a Zi Aerian
"2nd Day Air AM",A2-a Zi AM Aerian
"3 Day Select",3 Zile Select
"<br />Warning: <strong>%s</strong><br />",<br />Atenție: <strong>%s</strong><br />
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Atenție!</strong> Această opțiune dezactivează expedierea calculată de comerciant. Cu această opțiune, API-ul Google ignoră orice încercare de modificare a prețurilor de expediere."
"A virtual item to reflect the discount total",Un articol virtual pentru a reflecta totalul reducerii
"A virtual item to reflect the tax total",Un articol virtual pentru a reflecta totalul taxelor
"AVS Status: %s",Stare AVS: %s
"Add Shipping Method",Adăugare Metodă Expediere
"Allowed Methods",Metode Permise
"Amount: %s",Cantitate: %s
"Auto-generated from GoogleCheckout Charge",Auto-generat de la GoogleCheckout Charge
"Buyer Account Age: %s days",Vârsta Cont Cumpărător: %s zile
"CC Partial: xxxx-%s",CC Parțial: xxxx-%s
"CID Status: %s",Stare CID: %s
"Carrier Calculated Methods",Metode Calculate de Operator
"Cart Discount",Discount Coș
"Checkout Image Style",Stil Imagini Finalizare Comandă
"Commercial","Commercial"
"Continue Shopping URL",URL Continuare Cumpărături
"Credit memo has been created automatically",Memo-ul de credit a fost creat automat
"Debug",Depanare
"Default Package Height (in)",Înălțime Implicită Pachet (cm)
"Default Package Length (in)",Lungime Implicită Pachet (cm)
"Default Package Width (in)",Lățime Implicită Pachet (cm)
"Default Price for Methods",Preț Implicit pentru Metode
"Default price:",Preț implicit:
"Delivery Address Category",Categorie Adresă Livrare
"Delivery Schedule",Program Livrare
"Description-based delivery",Livrare bazată pe descriere
"Disable Default Tax Tables",Dezactivare Tabele de Taxe Implicite
"Discount Tax",Taxe Reducere
"Eligible for Protection: %s",Eligibil pentru Protecție: %s
"Email delivery",Livrare e-mail
"Enable",Activare
"Enable Carrier Calculated",Activare Calcule Operator
"Enable Digital Delivery",Activare Livrare Digitală
"Enable Flat Rate",Activare Rată Forfetară
"Enable Merchant Calculated",Activare Calcule Comerciant
"Enable this if your checkout request is too big and being cut off.",Activați asta dacă cererea finalizării de comandă este prea mare și este oprită.
"Expiration: %s",Expirare: %s
"Express Mail","Express Mail"
"Express Saver","Express Saver"
"FedEx","FedEx"
"Financial: %s -> %s",Financiar: %s -> %s
"First Overnight",Prima Peste Noapte
"Free Shipping",Expediere Gratuită
"Fulfillment: %s -> %s",Realizare: %s -> %s
"Google API",API Google
"Google Authorization:",Autorizare Google:
"Google Buyer ID: %s",ID Cumpărător Google: %s
"Google Charge:","Google Charge:"
"Google Chargeback:","Google Chargeback:"
"Google Checkout",Finalizare Comandă Google
"Google Checkout Shipping - Carrier Calculated",Expediere Google Checkout - Calculare Operator
"Google Checkout Shipping - Digital Delivery",Expediere Google Checkout - Livrare Digitală
"Google Checkout Shipping - Flat Rate",Expediere Google Checkout - Rată Forfetară
"Google Checkout Shipping - Merchant Calculated",Expediere Google Checkout - Calculare Comerciant
"Google Checkout: %s",Finalizare Comandă Google: %s
"Google Order Number: %s",Număr Comandă Google: %s
"Google Order Status Change:",Schimbare Status Comandă Google:
"Google Refund:",Rambursare Google:
"Google Risk Information:",Informații Risc Google:
"GoogleCheckout is not configured",FinalizareComandăGoogle nu e configurată
"Ground",Terestru
"Hide Cart Contents",Ascundere Conținut Coș
"Home Delivery",Livrare Domiciliu
