"(Make sure you keep it in a safe place.)","(Asigurați-vă că îl păstrați într-un loc sigur.)"
"(Optional. Leave blank for no prefix)","(Opțional. Lăsați necompletat pentru a nu seta prefix)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Calea suplimentară adăugată după Adresa URL pentru a se accesa panoul de Administrare (de exemplu, admin, backend, control etc)."
"Admin Path","Calea către Admin"
"After successfull installation please click the button below.","După instalarea cu succes vă rugăm să apăsați pe butonul de mai jos."
"All packages were installed successfully, click 'Ok' to continue with installation","Toate pachetele au fost instalate cu succes, faceți clic pe ""OK"" pentru a continua cu instalarea"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Ca alternativă ai putea încerca metoda 'Descărcări Manuale și Actualizări'."
"Base URL","Adresa URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Înainte de a continua către magazinul dumneavoastră, vă rugăm să notați cheia de criptare (Magento o folosește pentru a cripta parole, cărți de credit și altele)."
"Check out our","Check out our"
"Check this box only if it is not possible to automatically validate Base URL.","Bifați această casetă numai în cazul în care nu este posibil să validați în mod automat Adresa URL."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Bifați această casetă numai în cazul în care nu este posibil să validați în mod automat adresa URL securizată, de exemplu, în cazul în care este necesară autentificarea HTTP."
"Choose this if you would like to test frontend and backend functionality.","Choose this if you would like to test frontend and backend functionality."
"Configuration","Configurare"
"Confirm Password","Confirmați parola"
"Connection","Connection"
"Continue","Continuă"
"Continue After Manual Download","Continuă După Descărcarea Manuală"
"Continue Full Download / SVN Installation","Continue Full Download / SVN Installation"
"Create Admin Account","Creați un cont de Administrare"
"Currently this is the most stable state available for Magento packages.","Currently this is the most stable state available for Magento packages."
"Database","Bază de date"
"Database Connection","Database Connection"
"Database Name","Nume Bază de Date"
"Database connection error","Eroare conexiune la Baza de Date"
"Database host","Database host"
"Database server does not support InnoDB storage engine","Database server does not support InnoDB storage engine"
"Database server version does not match system requirements (required: %s, actual: %s)","Database server version does not match system requirements (required: %s, actual: %s)"
"Database user name","Utilizator Baza de date"
"Database user password","Parolă Utilizator Bază de date"
"Default Currency","Moneda implicită"
"Download","Descarcă"
"Download Magento Core Modules and Updates","Download Magento Core Modules and Updates"
"Downloading and installing Magento, please wait...","Se descarcă și instalează Magento, vă rog așteptați..."
"Email","Email"
"Email Address","Adresă email"
"Enable this option only if you have SSL available.","Activați această opțiune numai dacă aveți disponibil SSL."
"Encryption Key","Cheie de criptare"
"File system","File system"
"First Name","Prenume"
"Full Download / SVN Installation","Full Download / SVN Installation"
"Get ready to experience Open-Source eCommerce Evolved.","Get ready to experience Open-Source eCommerce Evolved."
"Go to Backend","Go to Backend"
"Go to Frontend","Go to Frontend"
"Having trouble installing Magento?","Aveți probleme la instalarea Magento?"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
