" was not delivered nor scanned"," nu a fost nici livrat nici scanat"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Comandă"" permite o singură taxă de manipulare pentru întreaga comandă. ""Per Pachet"" permite taxe individuale de manipulare pentru fiecare pachet."
"1 Day Freight",Transport Terestru o Zi
"2 Day",2 Zile
"2 Day AM",2 Zile AM
"2 Day Freight",Transport Terestru 2 Zile
"2Day",2Zile
"2nd Day Air",Aer a2-a Zi
"2nd Day Air AM",Aer a2-a Zi AM
"2nd Day Air AM Letter",Aer a2-a Zi AM Scrisoare
"2nd Day Air Letter",Aer a2-a Zi Scrisoare
"3 Day Freight",Transport Terestru 3 Zile
"3 Day Select",Transport Select 3 Zile
"Access ID",ID Acces
"Access License Number",Număr Licență Acces
"Account ID",ID Cont
"Account Number",Număr Cont
"Additional Protection Configuration Value",Valoare Configurare Protecție Suplimentară
"Additional Protection Enabled",Protecție Suplimentară Activată
"Additional Protection Min Subtotal",Subtotal Minim Protecție Suplimentară
"Additional Protection Value",Valoare Protecție Suplimentară
"Additional Protection Value Rounding Method",Metodă Rotunjire Valoare Protecție Suplimentară
"Adult","Adult"
"Adult Signature Required",Semnătură Adult Obligatorie
"Allowed Methods",Metode Permise
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.",Permite împărțirea greutății totale a comenzii în bucăți mai mici dacă depășește %s %s pentru a asigura calcularea corectă a costurilor de expediere.
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.",Permite împărțirea greutății totale a comenzii în bucăți mai mici dacă depășește 70 kg pentru a asigura calcularea corectă a costurilor de expediere.
"Bound Printed Matter",Legare Materie Imprimată
"Break bulk economy",Împărțire volum economic
"Break bulk express",Împărțire volum expres
"Business Service Center",Centru Service Firme
"Calculate Handling Fee",Calculare Taxe Manipulare
"Canada Standard","Canada Standard"
