"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Toate Cardurile de Credit / Visa, Mastercard, AMEX, JCB, Diners (cu sprijinul Moneybookers) - Internațional"
"CartaSi (powered by Moneybookers) - Italy",CartaSi (cu sprijinul Moneybookers) - Italia
"Carte Bleue (powered by Moneybookers) - France",Carte Bleue (cu sprijinul Moneybookers) - Franța
"Customer ID",ID Client
"Dankort (powered by Moneybookers) - Denmark",Dankort (cu sprijinul Moneybookers) - Danemarca
"EPS Online-Überweisung (powered by Moneybookers) - Austria",EPS Online-Überweisung (cu sprijinul Moneybookers) - Austria
"Enabled",Activat
"Find out more about Online Bank Transfer",Aflați mai multe despre Transferul Bancar Online
"Giropay (powered by Moneybookers) - Germany",Giropay (cu sprijinul Moneybookers) - Germania
"Laser (powered by Moneybookers) - Ireland",Laser (cu sprijinul Moneybookers) - Irlanda
"Lastschrift (ELV) (powered by Moneybookers) - Germany",Lastschrift (ELV) (cu sprijinul Moneybookers) - Germania
"Loading secure payment page (SSL)",Încărcare pagină de plată securizată (SSL)
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (cu sprijinul Moneybookers) - Regatul Unit, Austria, Spania"
"Moneybookers","Moneybookers"
"Moneybookers Settings",Setări Moneybookers
"Moneybookers Transaction ID: %s",ID Tranzacție Moneybookers: %s
"Moneybookers eWallet",ePortofel Moneybookers
"More information about Moneybookers",Mai multe informații despre Moneybookers
"Nordea Solo (powered by Moneybookers) - Finland",Nordea Solo (cu sprijinul Moneybookers) - Finlanda
"Nordea Solo (powered by Moneybookers) - Sweden",Nordea Solo (cu sprijinul Moneybookers) - Suedia
"Online Bank Transfer (powered by Moneybookers)",Transfer Bancar Online (cu sprijinul Moneybookers)
"Order ID",ID Comandă
"POLi (powered by Moneybookers) - Australia",POLi (cu sprijinul Moneybookers) - Australia
"Payment failed.",Plata eșuată.
"Payment from Applicable Countries",Plata din Țări Aplicabile
"Payment from Specific Countries",Plata din Anumite Țări
"Payment has not been processed yet.",Plata nu a fost procesată încă.
"Payment was canceled.",Plata a fost anulată.
"Pending bank transfer created.",Transfer bancar în așteptare creat.
"Please pay your order now",Vă rugăm plătiți-vă comanda acum
"Postepay (powered by Moneybookers) - Italy",Postepay (cu sprijinul Moneybookers) - Italia
"Powered by Moneybookers",Cu Sprijinul Moneybookers
"Przelewy24 (powered by Moneybookers) - Poland",Przelewy24 (cu sprijinul Moneybookers) - Polonia
"Sofortüberweisung (powered by Moneybookers) - Germany",Sofortüberweisung (cu sprijinul Moneybookers) - Germania
"Sort Order",Ordine Sortare
"The amount has been authorized and captured by Moneybookers.",Suma a fost autorizată și capturată de către Moneybookers.
"The customer was redirected to Moneybookers.",Clientul a fost redirecționat către Moneybookers.
"The order has been canceled.",Comanda a fost anulată.
"Title",Titlu
"You will be redirected to our secure payment page when you place an order.",Veți fi redirecționat către pagina noastră de plată securizată când plasați o comandă.
"eNETS (powered by Moneybookers) - Singapore",eNETS (cu sprijinul Moneybookers) - Singapore
"iDeal (powered by Moneybookers) - Netherlands",iDeal (cu sprijinul Moneybookers) - Olanda
