"* Required Fields","* Обязательные поля"
"Comment","Комментарий"
"Contact Form","Форма обратной связи"
"Contact Information","Контактная информация"
"Contact Us","Обратная связь"
"Contacts","Контакты"
"Contacts Section","Раздел контакты"
"Email","Электронная почта (email)"
"Email Options","Параметры электронной почты (email)"
"Email Sender","Отправитель письма"
"Email Template","Шаблон письма"
"Enable Contact Us","Включить форму обратной связи"
"Name","Имя"
"Send Emails To","Послать письма (emails) получателям"
"Submit","Отправить"
"Telephone","Телефон"
"Unable to submit your request. Please, try again later","Невозможно отправить ваш запрос. Пожалуйста, повторите попытку позже"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ваше сообщение получено и мы ответим на него в ближайшее время. Спасибо за сообщение."
"Contact Us","Contact Us"
"Contact Information","Contact Information"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"Comment","Comment"
"* Required Fields","* Required Fields"
