"# of Uses","# использований"
"%s tag(s) have been accepted for moderation","Количество меток, переданных модераторам: %s шт."
"Action","Действие"
"Actions","Действия"
"Add New Tag","Добавить новую метку"
"Add Tags","Добавить метки"
"Add Your Tags:","Добавьте ваши метки:"
"Add to Cart","Добавить в корзину"
"Add to Wishlist","Добавить в лист пожеланий"
"All Tags","Все метки"
"Approved","Подтверждено"
"Are you sure that you want to delete this tag?","Вы действительно хотите удалить эту метку?"
"Are you sure you want to delete this tag?","Вы действительно хотите удалить эту метку?"
"Are you sure you want to do this?","Вы действительно хотите сделать это?"
"Are you sure?","Вы уверены?"
"Back","Вернуться"
"Back to Tags List","Вернуться к списку меток"
"Back to view Tag","Вернуться к просмотру метки"
"Block Information","Информация о блоке"
"CSV","CSV"
"Change status","Изменить статус"
"Click on a tag to view your corresponding products.","Нажмите на метку для просмотра помеченных товаров."
"Country","Страна"
"Customer Since","Клиент начиная с"
"Customers","Клиенты"
"Customers Tagged '%s'","Отмечено клиентами как '%s'"
"Delete","Удалить"
"Delete Tag","Удалить метку"
"Disabled","Отключено"
"Edit Tag","Изменить метку"
"Edit Tag '%s'","Изменить метку '%s'"
"Email","Электронная почта (email)"
"First Name","Имя"
"General Information","Общая информация"
"Grid","Сетка"
"ID","ИД"
"Last Name","Фамилия"
"List","Список"
"My Recent Tags","Мои последние метки"
"My Tags","Мои метки"
"Name","Название"
"New Tag","Новая метка"
"No matches found.","Совпадений не найдено."
"Other people marked this product with these tags:","Другие пользователи отметили этот товар следующими метками:"
"Pending","На рассмотрении"
"Pending Tags","Метки, ожидающие проверки"
"Popular","Популярный"
"Popular Tags","Популярные метки"
"Popularity","Популярность"
"Price","Цена"
"Product Name","Название товара"
"Product SKU","Артикул товара"
"Product Tags","Метки товара"
"Products","Товары"
"Products Tagged with '%s'","Товары, помеченные '%s'"
"Products tagged with '%s'","Товары, помеченные '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Товары, помеченные '%s' (<a href='%s'>RSS</a>)"
"SKU","Артикул"
"Save Tag","Сохранить метку"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Результат поиска по фразе '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Критерии поиска"
"Status","Статус"
"Tag","Метка"
"Tag ""%s"" has already been added to the product","Метка ""%s"" добавлена к товару"
"Tag Information","Информация о метке"
"Tag Name","Название метки"
"Tag Name: %s","Название метки: %s"
"Tag can't be empty.","Метка не может быть пустой."
"Tagged in","Отмечено в"
"Tags","Метки"
"Tags Aren't Available","Метки недоступны"
"Tags:","Метки:"
"Telephone","Телефон"
"Thank you. Your tag has been accepted for moderation.","Спасибо. Ваша метка передана модераторам."
"Unable to find any products tagged with '%s' in the current store","В этом магазине нет товаров, помеченных '%s'"
"Unable to remove tag. Please, try again later.","Невозможно удалить метку. Пожалуйста, повторите попытку позже."
"Unable to save tag(s)","Невозможно сохранить метку(и)"
"Unable to save your tag. Please, try again later.","Невозможно сохранить вашу метку. Пожалуйста, повторите попытку позже."
"Use spaces to separate tags. Use single quotes (') for phrases.","Используйте пробелы для отделения меток. Используйте одинарные кавычки (') для фраз."
"Uses","Использований"
"View All","Просмотреть все"
"View All Tags","Просмотреть все метки"
"View Customers","Просмотреть клиентов"
"View Products","Просмотреть товары"
"Visible In","Отображается на"
"XML","XML"
"You have not tagged any products yet.","Вы еще не отметили ни одного товара."
"Your tag was successfully deleted","Ваша метка успешно удалена"
"Your tag was successfully saved","Ваш метка успешно сохранена"
"ZIP/Post Code","Почтовый индекс"
"You have not tagged any products yet.","You have not tagged any products yet."
