" The customer doesn't exist in the system anymore"," The customer doesn't exist in the system anymore"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolute path or Relative to Magento install root, ex. var/export)"
"(Leave empty for first spreadsheet)","(Nechajte prázdné pre prvý zošit)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Pokiaľ 'Nie', budú importované iba priradené polia. Ak priraďujete pole, použite 'stĺpec1', 'stĺpec2', atď.)"
"(If left empty will be auto-generated)","(Pokiaľ necháte prázdne, bude automaticky vygenerované)"
"(For US 2-letter state names)","(Pre USA 2-znakový názov štátu)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkt bude pridaný/aktualizovaný do tohto 'obchodu', pokiaľ je stĺpec prázdny, alebo chýba v importnom súbore.)"
"(Starting with)","(Začína s)"
"(t for tab)","(t for tab)"
"-- Please Select --","-- Vyberte --"
"-- Please select a category --","-- Vyberte kategóriu --"
"--Please Select--","--Vyberte--"
"Top 5 Search Terms","5 najhľadanejších výrazov"
"Last 5 Orders","5 najnovších objednávok"
"Last 5 Search Terms","5 naposledy hľadaných výrazov"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>"
"Action Code","Action Code"
"Add Url Rewrite","Add Url Rewrite"
"Admin","Administrácia"
"Active","Aktivny"
"Upgrade","Aktualizovať"
"Upgrade all packages","Aktualizovať všetky balíčky"
"Upgrade all available packages","Aktualizovať všetky dostupné balíčky"
"Upgrade All Available Packages","Aktualizovať všetky dostupné balíčky"
"Updated At","Aktualizované"
"Current Release Information","Aktuálne informácie o vydaní"
"Current Configuration Scope:","Aktuálny rozsah nastavenia:"
"All possible rates were fetched, click on ""Save"" to apply","All possible rates were fetched, click on ""Save"" to apply"
"All rates were fetched, click on ""Save"" to apply","All rates were fetched, click on ""Save"" to apply"
"Poll was successfully saved","Anketa bola úspešne uložená"
"Poll was successfully deleted","Anketa bola úspešne zmazaná"
"Unable to find a poll to delete","Anketa určená na zmazanie nebola nájdená."
"API:","API (rozhranie):"
"Account successfully saved","Účet bol úspešne uložený"
"Account Created on:","Účet vytvorený dňa:"
"Account Created in:","Účet vytvorený v:"
"Level","Úroveň"
"Next page","Ďalší"
"Yes","Áno"
"Yes (only price with tax)","Áno (iba cenu s daňou)"
"Template","Šablóna"
"Tags","Štítky"
"Tag was successfully saved","Štítok bol úspešne uložený"
"Tag was successfully deleted","Štítok bol úspešne zmazaný"
"Unable to find a tag to delete","Štítok určený na zmazanie nebol nájdený."
"None","Žiaden"
"No profile","Žiaden profil"
"No search keywords.","Žiadne kľúčové slová."
"Any Group","Ľubovoľná skupina"
"Any Attribute Set","Ľubovoľná skupina atribútov"
"Any Visibility","Ľubovoľná viditeľnosť"
"Any","Ľubovoľný"
"Any Store","Ľubovoľný obchod"
"Any Status","Ľubovoľný stav"
"Any Type","Ľubovoľný typ"
"Pending installation...","Čakajúca inštalácia..."
"Please wait, loading...","Čakajte prosím, prebieha načítanie..."
"Please wait...","Čakajte prosím..."
"Subpackage","Časť balíčka"
"Subpackage can't be conflicting","Časť balíčka spôsobuje konflikty"
"Subpackages","Časti balíčka"
"Credit Card Number","Číslo platobnej karty"
"Credit Card Number: xxxx-%s","Číslo platobnej karty: xxxx-%s"
"Number of Use","Číslo použitia"
"Subtotal Amount","Čiastka medzisúčtu"
"What is this?","Čo je to?"
"b","b"
"Package","Balíček"
"Package %s data was successfully loaded","Balíček dát %s bol úspešne načítaný."
"Packages","Balíčky"
"Package Extensions","Balíčky rozšírení"
"Upload Security Error","Bezpečnostná chyba pri nahrávání"
"Cache management","Cache management"
"Can't find email address.","Can't find email address."
"Total Amount","Celková čiastka"
"Total Order Amount","Celková objednaná čiastka"
"Lifetime Sales","Celková tržba"
"Grand Total","Celkový súčet"
"Total","celkovo"
"Total Invoiced","Celkovo faktúrované"
"Total Refunded","Celkovo splatené"
"Price","Cena"
"Shipping Price","Cena dodania"
"Price:","Cena:"
"Path","Cesta"
"Path:","Cesta:"
"Wrong column format","Chyba formátu stĺpcov"
"Error while updating selected review(s). Please try again later.","Chyba pri aktualizování vybraných recenzí. Prosím skúste neskôr."
"Error uploading the file","Chyba pri nahrávání súboru"
"Error while saving account. Please try again later","Chyba pri ukladaní účtu. Prosím skúste neskôr."
"Error while saving this role. Please try again later.","Chyba pri ukladaní tejto funkcie. Prosím skúste neskôr."
"Error while deleting this role. Please try again later.","Chyba pri zmazaní tejto funkcie. Prosím skúste neskôr."
"Error while deleting this set.","Chyba pri zmazaní tejto množiny"
"Invalid section value","Chybná časť hodnoty"
"Invalid URL","Chybná URL"
"Wrong tab configuration","Chybné nastavenie záložky"
"Invalid Username or Password.","Chybné prihlasovacie meno alebo heslo."
"Invalid input data for %s => %s rate","Chybné vstupné dáta pre %s => %s sadzbu"
"Invalid directory: %s","Chybný adresár: %s"
"Invalid file: %s","Chybný súbor: %s"
"Invalid input:","Chybný vstup:"
"Invalid Import Service Specified","Chybne špecifikovaná importná služba"
"Invalid store value","Chybne uložená hodnota"
"Invalid website value","Chybne uložená hodnota webstránky"
"Target Path","Cieľová cesta"
"Comments History","Comments History"
"Cookie (Unsafe)","Cookie (nebezpečné)"
"Create","Create"
"Create Urlrewrite for","Create Urlrewrite for"
"Credit Memo #%s comment added","Credit Memo #%s comment added"
"Credit Memo #%s created","Credit Memo #%s created"
"CSV","CSV"
"CSV / Tab separated","CSV / TAB (oddelené tabulátorom)"
"Tax","Daň"
"This user no longer exists","Daný užívateľ neexistuje"
"Date Updated","Dátum aktualizácie"
"Expiration Date","Dátum expirácie"
"Expiration Date: %s/%s","Dátum expirácie: %s/%s"
"Date Added","Dátum vytvorenia"
"Start Date","Dátum začiatku"
"Date:","Dátum:"
"Default","Default"
"Default Template from Locale","Default Template from Locale"
"Delete Sitemap","Delete Sitemap"
"Delete Url","Delete Url"
"to","do"
"To","do"
"Credit Memo Totals","Dobropisov celkovo"
"Shipping address","Dodacia adresa"
"Shipping Address","Dodacia adresa"
"Shipping method must be specified","Dodacia metóda musí byť určená"
"Shipping","Dodanie"
"Complete","Dokončené"
"Done by:","Dokončil:"
"Done By:","Dokončil:"
"Recommended","Doporučené"
"Shipment #%s comment added","Doprava č.%s pridaný komentár"
"Shipment #%s created","Doprava č.%s vytvorená"
"Available Version","Dostupná verzia"
"Email","E-mail"
"User Email","E-mail užívateľa"
"Email:","E-mail:"
"Email address is empty.","E-mailová adresa je prázdna."
"Email Address:","E-mailová adresa:"
"Edit Url","Edit Url"
"Edit Url #%s","Edit Url #%s"
"Error while create backup. Please try again later","Error while create backup. Please try again later"
"Error while saving this configuration: ","Error while saving this configuration: "
"Export","Export"
"Export CSV","Export CSV"
"Export:","Export:"
"Export to:","Exportovať do:"
"Invoice #%s created","Faktúra č.%s bola vytvorená"
"Invoice #%s comment added","Faktúre č.%s bol pridaný komentár"
"Billing address","Fakturačná adresa"
"Billing Address","Fakturačná adresa"
"File %s.ser could not be read","File %s.ser could not be read"
"Export Filters","Filtre exportu"
"Final Price","Final Price"
"For unpack on windows system use <a href=""%s"">%s</a>","For unpack on windows system use <a href=""%s"">%s</a>"
"Data Format","Formát dát"
"Role","Funkcia"
"Role successfully saved.","Funkcia bola úspešne uložená."
"Role successfully deleted.","Funkcia bola úspešne zmazaná."
"User Role","Funkcia užívateľa"
"User Roles","Funkcia užívateľa"
"Roles","Funkcie"
"Gb","GB"
"Global Record Search","Globálne vyhľadávanie záznamu"
"Global Attribute","Globálny atribút"
"Search Terms","Hľadané výrazy"
"Search Term","Hľadaný výraz"
"Password","Heslo"
"Password:","Heslo:"
"Credit Memo History","História dobropisov"
"Shipment History","História dopravy"
"Invoice History","História faktúr"
"Profile History","História profilu"
"Rating was successfully saved","Hodnotenie bolo úspešne uložené"
"Rating was successfully deleted","Hodnotenie bolo úspešne zmazané"
"HTTP (unsecure)","HTTP (nezabezpečené)"
"Upload HTTP Error","HTTP chyba pri nahrávání"
"HTTPS (SSL)","HTTPS (SSL)"
"Upload I/O Error","I/O chyba pri nahrávání"
"Only mapped fields","Iba priradené polia"
"Grid only","Iba tabuľka"
"List only","Iba zoznam"
"ID","ID"
"ID Path","ID cesta"
"Role ID","ID funkcie"
"User ID","ID užívateľa"
"Ignore","Ignorovať"
"images/logo.gif","images/logo.gif"
"Import","Import"
"Import/Export","Import/Export"
"Import/Export Advanced","Import/Export Advanced"
"Import/Export GUI Profiles","Import/Export GUI Profiles"
"Import/Export Profiles","Import/Export Profiles"
"Import/Export Profile","Import/Export profilu"
"Imported <strong>%s</strong> records","Importovaných <strong>%s</strong> záznamov"
"Install","Inštalovať"
"Installed As","Inštalovať ako"
"Install Package File","Inštalovať balíček"
"Installed Version","Inštalovaná verzia"
"Installing $pkg, please wait...","Inštalujem $pkg, čakajte prosím..."
"Installing selected packages, please wait...","Inštalujem vybrané balíčky, čakajte prosím..."
"Individual Item","Individuálna položka"
"User Roles Information","Informace o funkciách užívateľa"
"Template Information","Informácie o šablóne"
"Account Information","Informácie o účte"
"Package Information","Informácie o balíčku"
"Package Info","Informácie o balíčku"
"Role Information","Informácie o funkcii"
"Role Info","Informácie o funkcii"
"Installed Extension Info","Informácie o inštalovanom rozšírení"
"Sitemap Information","Informácie o mape stránok"
"Currency Information","Informácie o mene"
"Profile Information","Informácie o profile"
"File Information","Informácie o súbore"
"User Information","Informácie o užívateľovi"
"User Info","Informácie o užívateľovi"
"Release Info","Informácie o vydání"
"Remote Extension Info","Informácie o vzdialených rozšíreniach"
"The information in this tab has been changed.","Informácie v tejto záložke boli zmenené."
"Interactive","Interaktívny"
"IP Address","IP adresa"
"Items Ordered","Items Ordered"
"Channel","Kanál"
"Channel:","Kanál:"
"Catalog","Katalóg"
"Category","Kategória"
"SKU","Kód"
"Coupon Code","Kód poukážky"
"SKU:","Kód:"
"Kb","kB"
"Shipment Comments","Komentáre k doprave"
"Conflicts","Konflikty"
"Region/State","Kraj/Štát"
"State/Province:","Kraj/Región:"
"Country","Krajina"
"Country:","Krajina:"
"License","Licencia"
"License URI","Licencia URI"
"License:","Licencia:"
"Load","Load"
"Load previously created custom local package information","Load previously created custom local package information"
"Magento Logo","Logo: Magento"
"Locale","Lokalita"
"Local/Remote Server","Lokálny / vzdialený server"
"Local Server","Lokálny server"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento &trade; je obchodná značka spoločnosti Irubin Consulting Inc. DBA Varien.<br/>Autorské práva &copy; %s Irubin Consulting Inc."
"Magento Commerce - Administrative Panel","Magento Commerce - Ovládací panel"
"Magento Connect","Magento Connect"
"Magento Extensions","Magento Extensions"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento je obchodná značka spoločnosti Irubin Consulting Inc. DBA Varien. Autorské práva &copy; %s Irubin Consulting Inc."
"Magento ver. %s","Magento ver. %s"
"Manage Advanced Import/Export Profiles","Manage Advanced Import/Export Profiles"
"Manage Extensions","Manage Extensions"
"Manage Import/Export Profiles","Manage Import/Export Profiles"
"Manage Ratings","Manage Ratings"
"Manage Url Rewrites","Manage Url Rewrites"
"Field Mapping","Mapovanie poľa"
"Max","Max"
"Maximum","Maximálne"
"Media (.avi, .flv, .swf)","Média (.avi, .flv, .swf)"
"My Account","Môj účet"
"Mb","Mb"
"md5sum","md5sum"
"Subtotal","Medzisúčet"
"Currency","Mena"
"Name","Meno"
"Firstname","Meno"
"First Name","Meno"
"Name on Card","Meno na karte"
"Name on the Card: %s","Meno na karte: %s"
"Customer Name","Meno zákazníka"
"Name:","Meno:"
"First Name:","Meno:"
"Min","Min"
"Minimum","Minimum"
"Attribute set was successfully removed.","Množina vlastností bola úspešne odstránená."
"Attribute set successfully saved.","Množina vlastností bola úspešne uložená."
"Discount Amount","Množstevná zľava"
"Amounts","Množstvá"
"Qty","Množstvo"
"Quantity","Množstvo"
"Stock Quantity:","Množstvo na sklade:"
"Options","Možnosti"
"MS Excel XML","MS Excel XML"
"Payment method must be specified","Musí byť špecifikovaná platobná metóda"
"Per Order","na objednávku"
"Per Item","Na položku"
"per page","na stránku"
"Load Template","Načítať šablónu"
"Load default template","Načítať predvolenú šablónu"
"Upload and Install","Nahrať a inštalovať"
"Upload import file","Nahrať importný súbor"
"Upload local file:","Nahrať lokální súbor:"
"Upload Local File","Nahrať lokálny súbor"
"Upload File","Nahrať súbor"
"Upload Files","Nahrať súbory"
"Loading...","Nahrávanie..."
"Most Viewed Products","Najčastejšie zobrazované produkty"
"Bestsellers","Najpredávanejšie"
"Are you sure you wish to UPGRADE all selected packages?","Naozaj chcete aktualizovať všetky označené balíčky?"
"Are you sure you wish to INSTALL all selected packages?","Naozaj chcete inštalovať všetky označené balíčky?"
"Are you sure you wish to UNINSTALL all selected packages?","Naozaj chcete odinštalovať všetky označené balíčky?"
"Are you sure that you want to strip tags?","Naozaj chcete odobrať štítky?"
"Are you sure that you want to delete this template?","Naozaj chcete zmazať túto šablónu?"
"Are you sure you want to do this?","Naozaj to chcete urobiť?"
"Last Logged In:","Naposledy prihlásený:"
"Configuration","Nastavenie"
"Configuration successfully saved","Nastavenie bolo úspešne uložené"
"PEAR Configuration was successfully saved","Nastavenie PEAR-u bolo úspešne uložené"
"Connect with the Magento Community","Navštíviť Magento komunitu"
"Thumbnail","Náhľad"
"Preview","Náhľad"
"Preview Template","Náhľad šablóny"
"Email Preview","Náhľad e-mailu"
"Parent Product Thumbnail","Náhľad rodičovského produktu"
"Product Thumbnail Itself","Náhľad samotného produktu"
"Shopping Cart from %s","Nákupný košík %s"
"Get help for this page","Nápoveda pre túto stránku"
"Tools","Nástroje"
"Guest","Návštevník"
"Template Name","Názov šablóny"
"Role Name","Názov funkcie"
"Attribute Set Name:","Názov množiny vlastností:"
"Profile Name","Názov profilu"
"Extension Name","Názov rozšírenia"
"Archive file name:","Názov súboru v archíve:"
"File name:","Názov súboru:"
"Spreadsheet Name:","Názov zošitu:"
"Inactive","Neaktivny"
"No profile loaded...","Nebol načítaný žiaden profil"
"No Templates Found","Neboli nájdené žiadne šablóny"
"No Data Found","Neboli nájdené žiadne dáta"
"No Extensions Found","Neboli nájdené žiadne rozšírenia"
"No records found.","Neboli nájdené žiadne záznamy."
"No search modules registered","Neboli registrované žiadne moduly vyhľadávania."
"You have not enought permissions to use this functionality.","Nemáte oprávnenie k použitiu tejto funkcie."
"You have not enought permissions to login.","Nemáte oprávnenie k prihláseniu."
"You can not delete self assigned roles.","Nemôžete zmazať funkcie, ktoré sú Vám priradené."
"You cannot delete account of yourself","Nemôžete zmazať svoj vlastný účet"
"Pending Tags","Neschválené štítky"
"New Url","New Url"
"Unknown error","Neznáma chyba"
"Unknown","Neznámy"
"No","Nie"
"No (price without tax)","Nie (cena bez dane)"
"Unable to initialize import model","Nie je možné inicializovať importný model"
"Can't delete design change","Nie je možné zmazať zmeny vo vzhľade"
"New Template","Nová šablóna"
"New Email Template","Nová šablóna e-mailu"
"New System Template","Nová systémová šablóna"
"New admin password","Nové admin heslo"
"New Accounts","Nové účty"
"New Password","Nové heslo"
"New Extension","Nové rozšírenie"
"New Website","Nové webstránky"
"New Customers","Noví zákazníci"
"New Tag","Nový štítok"
"New Store View","Nový pohľad obchodu"
"New Profile","Nový profil"
"New User","Nový užívateľ"
"Store","Obchod"
"Store View","Obchod - pohľad"
"Store:","Obchod:"
"Both (without and with tax)","Obe (bez a s daňou)"
"Order #%s","Objednávka č.%s"
"Order #%s (%s)","Objednávka č.%s (%s)"
"Orders","Objednávky"
"Refresh","Obnoviť"
"Images","Obrázky"
"Images (.gif, .jpg, .png)","Obrázky (.gif, .jpg, .png)"
"Get Image Base64","Obrázok v Base64"
"Template Content","Obsah šablóny"
"Include","Obsahuje"
"Contents","Obsahy"
"From","od"
"Value Delimiter:","Oddeľovač hodnôt:"
"You successfully logged out.","Odhlásenie prebehlo úspešne."
"Log Out","Odhlásiť"
"Uninstall","Odinštalovať"
"Access Deny","Odmietnuť prístup"
"Sender","Odosielateľ"
"Submit","Odoslať"
"Remove","Odstrániť"
"Unselect All","Odznačiť všetko"
"Unselect Visible","Odznačiť viditeľné"
"Instant Payment Notification (IPN)","Okamžitá notifikácia platby (IPN)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available."
"Action","Operácia"
"Actions","Operácie"
"Profile Actions XML","Operácie profilu XML"
"Actions XML","Operácie XML"
"Permissions","Oprávnenia"
"Personal Information","Osobné informácie"
"Rotate CCW","Otočiť doľava"
