"* Required Fields","* Povinne vyplnené polia"
"Last 5 Orders","5 najnovśích objednávok"
"Account Dashboard","Account Dashboard"
"Admin","Administrácia"
"Address","Adresa"
"The address was successfully saved","Adresa bola úspešne uložená"
"The address was successfully deleted","Adresa bola úspešne vymazaná"
"Customer Addresses","Adresa zákazníka"
"Addresses","Adresy"
"If you have an account with us, please log in.","Ak máte u nás založený účet, prihláste sa, prosím."
"Update","Aktualizácia"
"or","alebo"
"Are you sure the you want to remove this item?","Are you sure the you want to remove this item?"
"Newsletter Finish","Úprava Spravodaja"
"Thank you for registering with %s","Ďakujeme za registráciu s %s"
"Go to Address Book","Ísť na zoznam adries"
"Forgot Email Template","Šablóna e-mailu zabudnutého hesla"
"Invalid attribute set specified, skipping the record","Špecifikovaná rada atribútov je neplatná, vynechávam záznam."
"Invalid option id specified for %s (%s), skipping the record","Špecifikované ID výberu %s (%s) je neplatné, vynechávam záznam."
"Invalid store specified, skipping the record","Špecifikovaný obchod je neplatný, vynechávam záznam"
"Sales Statistics","Štatistiky predaja"
"State/Province","Štát/Provincia"
"Product Tags","Štítky produktu"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Boli ste úspešne odhlásený a budete presmerovaní na úvodnú stranu za 5 sekúnd."
"Can't save address","Can't save address"
"Can't save customer","Can't save customer"
"Can't share customer accounts global.","Can't share customer accounts global."
"Total","Celkom"
"Grand Total","Celkom"
"Grand Total: %s","Celkom: %s"
"Lifetime Sales","Celková tržba"
"Price","Cena"
"Ext. Price","Cena"
"Missing email, skipping the record","Chýba e-mail, vynechávam záznam"
"Missing firstname, skipping the record","Chýba meno, vynechávam záznam"
"Missing lastname, skipping the record","Chýba priezvisko, vynechávam záznam"
"Error during retrieval of option value: %s","Chyba pri získavaní hodnoty výberu: %s"
"CSV","CSV"
"Date","Dátum"
"Date Added","Dátum vytvorenia"
"Disabled","Deaktivované"
"Details","Detaily"
"To Cart","Do košíka"
"Hello, %s!","Dobrý deň, %s!"
"Additional Address Entries","Dodatočné záznamy adresy"
"Email","E-mail"
