"* Select shipping method","* Vyberte metódu doručenia"
"Google Refund:","Úhrada Google:"
"Google Charge:","Úhrada Google:"
"Auto-generated from GoogleCheckout Charge","Auto-generované z účtovania GoogleCheckout"
"Invoice auto-created: %s","Automat. vytvorenie faktúry: %s"
"Google Authorization:","Autorizácia Google:"
"Google Order Number: %s","Číslo objednávky Google: %s"
"Total Charged: %s","Celkovo účtovaný: %s"
"Total Refunded: %s","Celkovo splatený: %s"
"Fulfillment: %s -> %s","Dokončenie: %s -> %s"
"Expiration: %s","Expirácia: %s"
"Google API","Google API (rozhranie)"
"Google Buyer Id: %s","ID Google nákupcu: %s"
"Merchant ID","ID obchodníka"
"IP Address: %s","IP adresa: %s"
"Merchant Key","Kľúč obchodníka"
"Checkout Image Style","Kontrolný obrázkový štýl"
"CC Partial: xxxx-%s","Kreditá karta: xxxx-%s"
"Location","Miesto"
"Amount: %s","Množstvo: %s"
"Debug","Odlaďovanie chýb"
"Google Checkout Shipping - Merchant Calculated","Overenie doručenia Google-om - Kalkulácie provízie"
"Google Checkout Shipping - Flat Rate","Overenie doručenia Google-om - Paušálna sadzba"
"Google Checkout Shipping - Carrier Calculated","Overenie doručenia Google-om - Výpočet prepravy"
"Google Checkout","Overenie Google-om"
"Google Checkout: %s","Overenie Google-om %s"
"Financial: %s -> %s","Peňažný: %s -> %s"
"Latest Refund: %s","Posledná úhrada: %s"
"Latest Charge: %s","Posledný účet: %s"
"Enable","Povoliť"
"Default price:","Predvolená cena:"
"Google Risk Information:","Rizikové informácie Google:"
"Hide Cart Contents During Checkout","Skryť obsah košíka v priebehu overovania"
"Virtual item to reflect discount total","Skutočná položka odrážajúca celkovú zľavu"
"AVS Status: %s","Stav AVS: %s"
"CID Status: %s","Stav CID: %s"
"New order status","Stav novej objednávky"
"Sandbox","Testovacie pole"
"Continue Shopping URL","URL pokračovania v nákupe"
"Buyer account age: %s days","Vek účtu kupujúceho: %s dní"
"Eligible for protection: %s","Vhodný pre chranu: %s"
"Optional, leave empty for home page.","Voliteľné, ponechajte prázdne pre úvodnú stránku."
"Cart Discount","Zľava košíka"
"Google order status change:","Zmena stavu objednávky Google:"
