"(ver. %s)","(verzia %s)"
"Next Page","Ďalšia strana"
"Items %s to %s of %s total","Celkovo %s položiek %s z %s"
"Copyright","Copyright"
"Default Keywords","Default Keywords"
"Default Robots","Default Robots"
"Default Title","Default Title"
"Footer","Footer"
"Header","Header"
"HTML Head","HTML Head"
"Interface Language","Jazyk rozhrania"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Magento Commerce Demo Store","Magento Commerce Demo Store"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"per page","na stránku"
"Report All Bugs","Nahláste všetky chyby"
"%s Item(s)","Položiek: %s"
"Help Us to Keep Magento Healthy","Pomôžte nám udržať Magento bez chýb"
"You're currently on:","Práve sa nachádzaš:"
"Previous Page","Prech. strana"
"Default Description","Predvolený Popis"
"Skip to Main Content","Preskočiť k hlavnému obsahu"
"Page:","Strana:"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Toto je iba  predvádzací obchod. Žiadna z objednávok odoslaná prostredníctvom tohoto obchodu nebude vybavená."
"Your Language","Tvoj jazyk"
"Welcome, %s!","Vitaj, %s!"
"Select Store","Vyber obchod"
"Welcome Text","Welcome Text"
"Close Window","Zavrieť okno"
"Show","Zobraziť"
"from Monday to Friday","Od pondelka do piatku"
