" was not delivered nor scanned"," nebol dodaný ani zosnímaný"
"Second Day Service","Ďalší termín doručenia"
"Yes","Áno"
"Standard Overnight","Štandardne v noci"
"Empty response","Žiadna odpoveď"
"Account number","Číslo účtu"
"Access license number","Číslo prístupovej licencie"
"Parcel","Balík"
"Parcel Post","Balíková pošta"
"Packaging","Balenie"
"Regular Pickup","Bežný osobný odber"
"Free method","Bezplatne"
"Business Service Center","Centrum podnikateľských služieb"
"Error #%s : %s (%s)","Chyba č.%s : %s (%s)"
"Error #%s: %s","Chyba č.%s: %s"
"DHL","DHL"
"Delivered","Doručené"
"Ship to applicable countries","Doručenie do akceptovaných krajín"
"2 Day Freight","Doručenie do dvoch dní"
"3 Day Freight","Doručenie do troch dní"
"Ship to Specific countries","Doručenie do vybratých krajín"
"Home Delivery","Doručenie domov"
"Shipment is not available.","Doručenie nie je možné"
"Shipment Dutiable","Doručenie podliehajúce clu"
"1 Day Freight","Doručenie v nasledujúci deň"
"Free shipping with minimum order amount","Doručenie zadarmo pri minimálnom množstve"
"Shipping key","Doručovací kľúč"
"Shipping key (International)","Doručovací kľúč (Medzinárodný)"
"Allowed methods","Dovolené metódy"
"2Day","Dva dni"
"Express 10:30 AM","Expres 10:30 AM"
"Express Mail","Expres Mail"
"Express Saturday","Expres Saturday"
"Express Saver","Expres Saver"
"Express","Express"
"FedEx","FedEx"
"FedEx Pak","FedEx balenie"
"FedEx Box","FedEx box"
"FedEx Envelope","FedEx obálka"
"FedEx Tube","FedEx trubica"
"Flat Rate Box","Flat Rate Box"
"Flat Rate Envelope","Flat Rate Envelope"
"Password","Heslo"
"Account ID","ID účtu"
"Access ID","ID prístupu"
"User ID","ID užívateľa"
"UserId","ID užívateľa"
"Flat","Jednorázová"
"Weight Unit","Jednotka hmotnosti"
"Library","Knižnica"
"FedEx 10kg Box","Krabica FedEx 10kg"
"FedEx 25kg Box","Krabica FedEx 25kg"
"Letter","List"
"Handling fee","Manipulačný poplatok"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximálna hmotnosť balíčka (Konzultujte prosím s Vašim poštovým doručovateľom ohľadne maximálnej povolenej hmotnosti)"
"Media Mail","Media Mail"
"Intl Economy Freight","Medzinárodná ekonomická doprava"
"International Priority","Medzinárodná priorita"
"Intl Priority Freight","Medzinárodná prioritná doprava"
"International Economy","Medzinárodne ekonomické"
"International Express","Medzinárodne expres"
"Pickup method","Metóda osobného odberu"
"Destination type","Miesto určenia"
"Minimum order amount for free shipping","Minimálna veľkosť objednávky pre bezplatné doručenie"
"Oversize","Nadmerná veľkosť"
"International First","Najskôr medzinárodne"
"Next Afternoon","Nasledujúce popoludnie"
"Cannot retrieve shipping rates","Nedostupné sadzby doručenia"
"Invalid DHL XML code for type %s: %s","Neplatný DHL XML kód pre %s: %s"
"Invalid DHL XML code type: %s","Neplatný DHL XML kód: %s"
"Invalid FedEx XML code for type %s: %s","Neplatný FedEx XML kód pre %s: %s"
"Invalid FedEx XML code type: %s","Neplatný FedEx XML kód: %s"
"Invalid UPS CGI code for type %s: %s","Neplatný UPS CGI kód pre %s: %s"
"Invalid UPS CGI code type: %s","Neplatný UPS CGI kód: %s"
"Invalid USPS XML code for type %s: %s","Neplatný USPS XML kód pre %s: %s"
"Invalid USPS XML code type: %s","Neplatný USPS XML kód: %s"
"Non-rectangular","Nepravidelný"
"Unknown error","Neznáma chybar"
"No","Nie"
"There is no available method for selected shipping address.","Nie je dostupná metóda pre danú adresu doručenia"
"Rectangular","Obdĺžnikový"
"Order","Objednávka"
"Sender","Odosielateľ"
"Response is in the wrong format","Odpoveď v nesprávnom formáte"
"Bound Printed Matter","Ohraničenie tlače"
"Shipment picked up","Osobné prevzatie zásielky"
"Origin of the shipment","Pôvod zásielky"
"Ground","Po zemi"
"Drop Box","Poštová schránka"
"Request Courier","Požiadavka kuriéra"
"Package Description","Popis zásielky"
"Sort order","Poradie objednávky"
"Handling Applied","Použitá manipulácia"
"Regular","Pravidelný"
"Receiver","Príjemca"
"Variable","Premenná"
"Container","Prepravný obal"
"Europe First Priority","Priorita Európa"
"Priority Mail","Prioritná pošta"
"Priority Overnight","Prioritne v noci"
"Please enter the package weight","Prosím, zadajte váhu zásielky"
"First-Class","Prvá trieda"
"Machinable","Spracovateľný"
"Station","Stanica"
"Dropoff","Stratiť sa"
"Title","Titulok"
"Third Party","Tretia strana"
"Shipment type","Typ doručenia"
"Shipment Duty Payment Type","Typ preclenia zásielky"
"UPS type","Typ UPS"
"Show method if not applicable","Ukáž spôsob, ak nie je použiteľný"
"United Parcel Service","United Parcel Service (UPS)"
"United Parcel Service XML","United Parcel Service (UPS) XML"
"UPS","UPS"
"Gateway URL","URL brána"
"USPS","USPS"
"First Overnight","V noci"
"Your Packaging","Vaša zásielka"
"All Services","Všetky služby"
"Large","Veľký"
"Size","Veľkosť"
"Calculate Handling Fee","Vypočitať manipulačný poplatok"
"Gateway XML URL","XML URL brána"
"Tracking XML URL","XML URL Sledovania zásielky"
"Enabled","Zapnuté"
"Package","Zásielka"
"Unable to retrieve tracking","Zásielku nie je možné sledovať"
"Displayed Error Message","Zobrazená chybová správa"
