"Actions","Actions"
"Active","Aktivno"
"Add New Rule","Dodaj novo pravilo"
"Apply Rules","Apply Rules"
"Attribute Set","Set Atributa"
"Catalog","Katalog"
"Catalog Price Rule","Catalog Price Rule"
"Catalog Price Rules","Catalog Price Rules"
"Category","Kategorija"
"Comments History","Zgodovina komentarjev"
"Conditions","Conditions"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Conditions Combination"
"Credit Memos","Credit Memos"
"Customer Groups","Skupine kupcev"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Date Expire","Konèni datum"
"Date From","Date From"
"Date Start","Datum zaèetka"
"Date To","Date To"
"Delete Rule","Izbriši pravilo"
"Description","Opis"
"Description: %s","Opis: %s"
"Edit Rule","Uredi pravilo"
"Edit Rule '%s'","Uredi pravilo '%s'"
"Expire at: %s","Se konèa: %s"
"From Date","Od datuma"
"General Information","Splošne informacije"
"Gift Messages","Gift Messages"
"ID","ID"
"Inactive","Neaktivno"
"Invoices","Invoices"
"NOT LOGGED IN","NISI VPISAN"
"Name: %s","Ime: %s"
"New Rule","Novo pravilo"
"No","Ne"
"Options","Možnosti"
"Order Credit Memos","Order Credit Memos"
"Order Gift Messages","Order Gift Messages"
"Order History","Zgodovina naroèil"
"Order Invoices","Order Invoices"
"Order Shipments","Order Shipments"
"Priority","Prioriteta"
"Product Attribute","Product Attribute"
"Promotions","Promoviranje"
"Rule Information","Informacija pravila"
"Rule Name","Ime pravila"
"Rule was successfully deleted","Pravilo je izbrisano"
"Rule was successfully saved","Pravilo je shranjeno"
"Rules were successfully applied","Rules were successfully applied"
"Save Rule","Shrani pravilo"
"Save and Apply","Save and Apply"
"Shipments","Dostave"
"Start at: %s","Zaèetek: %s"
"Status","Status"
"Stop further rules processing","Stop further rules processing"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","To pravilo veè ne obstaja"
"To Date","Do datuma"
"Unable to apply rules","Unable to apply rules"
"Unable to find a page to delete","Ne najdem strani za izberis"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Websites","Websites"
"Yes","Da"
