"--Please Select--","--Please Select--"
"<label>Make Check payable to:</label> %s","<label>Make Check payable to:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Make Check payable to</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Card Verification Number","Card Verification Number"
"Check / Money order","Èek / Denarno naroèilo"
"Credit Card Number","Številka kreditne kartice"
"Credit Card Number: %s","Številka kreditne kartice: %s"
"Credit Card Number: xxxx-%s","Številka kreditne kartice: xxxx-%s"
"Credit Card Type","Tip kreditne kartice"
"Credit Card Type: %s","Tip kreditne kartice: %s"
"Credit Card Types","Tipi kreditnih kartici"
"Credit Card Verification","Credit Card Verification"
"Enabled","Vkljuèeno"
"Expiration Date","Konèni datum"
"Expiration Date: %s/%s","Konèni datum: %s/%s"
"Make Check payable to","Make Check payable to"
"Make Check payable to: %s","Make Check payable to: %s"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Minimum Order Total"
"Month","Mesec"
"Name on Card","Ime na kartici"
"Name on the Card: %s","Ime na kartici: %s"
"New order status","Status novih naroèil"
"Payment Methods","Naèini plaèila"
"Payment Methods Section","Payment Methods Section"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Purchase Order Number","Purchase Order Number"
"Purchase Order Number: %s","Purchase Order Number: %s"
"Purchase order","Purchase order"
"Saved CC","Saved CC"
"Send Check to","Pošlji èek na"
"Send Check to:","Pošlji èek na:"
"Sort order","Sortiraj Naroèilo"
"Title","Naslov"
"What is this?","Kaj je to?"
"Year","Leto"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
