"ALL","VSE"
"ANY","BILOKAJ"
"Add","Dodaj"
"Apply","Potrdi"
"Description: %s","Opis: %s"
"Expire at: %s","Se konèa: %s"
"FALSE","NAROBE"
"If %s of these conditions are %s:","If %s of these conditions are %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Ime: %s"
"Open Chooser","Odpri izbirnik"
"Perform following actions","Perform following actions"
"Please choose a condition to add...","Please choose a condition to add..."
"Please choose an action to add...","Please choose an action to add..."
"Remove","Odstrani"
"Start at: %s","Zaèetek: %s"
"TRUE","PRAVILNO"
"by","by"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","to"
