"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Schemalagda jobb) – alla tider i minuter"
"Daily","Dagligen"
"Failure history lifetime","Livslängd för felhistorik"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Kör schemalagda varje"
"History cleanup every","History cleanup every"
"Invalid callback: %s::%s does not exist","Felaktig callback: %s::%s finns inte"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if not run within","Missas om den inte körs inom"
"Monthly","Månadsvis"
"No callbacks found","No callbacks found"
"Schedule ahead for","Schemalägg framåt för"
"Success history lifetime","Livslängd för loggning av lyckade transaktioner"
"Too late for the schedule","För sent för schemaläggningen"
"Unable to save Cron expression","Det gick inte att spara uttryck för cronjobb"
"Unknown error","Okänt fel"
"Weekly","Veckovis"
