"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text."
"API Password","รหัสผ่าน API"
"API Signature","ลายเซ็นต์ API"
"API User Name","ชื่อผู้ใช้ API"
"Amex","Amex"
"Authorization","การอนุมัติ"
"Authorize and Capture","อนุมัติและเก็บข้อมูล"
"Billing Information","ข้อมูลการออกใบเสร็จ"
"Business Account","บัญชีธุรกิจ"
"Business Name","ชื่อทางธุรกิจ"
"Card Verification Number","หมายเลขยืนยันบัตรเครดิต"
"Change Payment Method","เปลี่ยนแปลงวิธีการชำระเงิน"
"Change Shipping Address","เปลี่ยนแปลงที่อยู่สำหรับจัดส่งสินค้า"
"Credit Card Number","หมายเลขบัตรเครดิต"
"Credit Card Number: xxxx-%s","หมายเลขบัตรเครดิต: xxxx-%s"
"Credit Card Type","ประเภทบัตรเครดิต"
"Credit Card Type: %s","ประเภทบัตรเครดิต: %s"
"Credit Card Types","ประเภทบัตรเครดิต"
"Customer returned from PayPal site.","Customer returned from PayPal site."
"Debug Flag","Debug Flag"
"Discover","ตรวจพบ"
"Edit Shopping Cart","แก้ไขรถเข็น"
"Enabled","เปิดการใช้งาน"
"Error in creating an invoice","ข้อผิดพลาดในการสร้างบัญชีส่งของ "
"Error in refunding the payment","ความผิดพลาดในการชำระเงินคืน"
"Expiration Date","วันหมดอายุ"
"Expiration Date: %s/%s","วันหมดอายุ: %s/%s"
"Incl. Tax","Incl. Tax"
"Invalid transaction id","รหัสการติดต่อไม่ถูกต้อง"
"Invoice #%s created","Invoice #%s created"
"Issue Number","จำนวนที่ส่งออกไป"
"Items in Your Shopping Cart","รายการสินค้าในรถเข็นของคุณ"
"MasterCard","MasterCard"
"Maximum image size is 750x90 px.","Maximum image size is 750x90 px."
"N/A","N/A"
"Name on Card","ชื่อที่ปรากฏบนบัตร"
"Name on the Card: %s","ชื่อที่ปรากฏบนบัตร: %s"
"New order status","สถานะคำสั่งซื้อใหม่ใหม่"
"No shipping method required.","No shipping method required."
"Order","คำสั่งซื้อ"
"Order total amount does not match paypal gross total amount","ยอดเงินรวมทั้งหมดของคำสั่งซื้อใหม่ไม่ตรงกับยอดเงินรวมทั้งหมดของ Paypal"
"Page Style","Page Style"
"PayPal Accounts","บัญชี PayPal"
"PayPal Email","อีเมลล์ PayPal"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Uk Account","บัญชี PayPal Uk"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro - Direct Payments"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"Payment Action","การทำการชำระเงิน"
"Payment Method","วิธีการชำระเงิน"
"Payment from Specific countries","การชำระเงินจากประเทศที่ระบุ"
"Payment from applicable countries","การชำระเงินจากประเทศที่นำไปใช้ได้"
"Paypal Checkout","Paypal Checkout"
"Paypal IPN Invalid %s.","Paypal IPN Invalid %s."
"Paypal Logo Image URL","Paypal Logo Image URL"
"Paypal URL","Paypal URL"
"Place an Order","สั่งซื้อ"
"Please select a shipping method...","กรุณาเลือกวิธีการจัดส่งสินค้า..."
"Please select a valid shipping method","กรุณาเลือกวิธีจัดส่งสินค้าที่ถูกต้อง"
"Price","ราคา"
"Problem during communication with PayPal","ปัญหาขณะติดต่อสื่อสารกับ PayPal"
"Product Name","ชื่อสินค้า"
"Proxy Host","Proxy โฮสต์"
"Proxy Port","Proxy พอร์ต"
"Qty","จำนวน"
"Received IPN verification","การตรวจสอบ IPN ที่ได้รับ"
"Review Order","ตรวจดู คำสั่งซื้อ"
"Sale","ยอดขาย"
"Sandbox Flag","Sandbox Flag"
"Selected currency code (","เลือกรหัสสกุลเงิน ("
"Shipping Address","ที่อยู่สำหรับจัดส่งสินค้า"
"Shipping Information","ข้อมูลการจัดส่งสินค้า"
"Shipping Method","วิธีการจัดส่งสินค้า"
"Sorry, no quotes are available for this order at this time.","ขอโทษ,ไม่มีการอ้างอิงที่ใช้ได้สำหรับคำสั่งซื้อนี้ขณะนี้"
"Sort order","เรียงลำดับออเดอร์"
"Start Date","วันที่เริ่มต้น"
"Submitting order information...","กำลังยอมรับข้อมูลออเดอร์..."
"Subtotal","รวม"
"Switch/Solo Only","เฉพาะ Switch/Solo"
"Switch/Solo card issue number: %s","Switch/Solo card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo card start Date: %s/%s"
"There has been an error processing your payment. Please try later or contact us for help.","เกิดข้อผิดพลาดระหว่างการดำเนินการชำระเงินของคุณ. กรุณาลองใหม่อีกครั้งหรือติดต่อเราสำหรับความช่วยเหลือ."
"There was an error connecting to the Paypal server: %s","พบความผิดพลาดในการเชื่อมต่อกับเซิร์ฟเวอร์ของ Paypal: %s"
"There was an error during communication with Paypal: %s - %s","พบข้อผิดพลาดขณะทำการติดต่อสื่อสารกับ Paypal: %s - %s"
"Title","หัวข้อ"
"Transaction Type","ประเภทของธุรกรรม"
"Type","ประเภท"
"Unknown PayPal API error: %s","ความผิดพลาดที่ไม่รู้จักของ PayPal API: %s"
"Update Shipping Method","อัพเดทวิธีการจัดส่งสินค้า"
"Use Proxy","ใช้ Proxy"
"Visa","วีซ่า"
"Website Payments Pro and Express Checkout (API Signature)","Website Payments Pro and Express Checkout (API Signature)"
"Website Payments Standard","มาตรฐานการชำระเงินผ่านเว็บไซต์"
"What is this?","นี่คืออะไร?"
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal UK website","ที่อยู่ในการออกใบเสร็จของคุณจะถูกข้ามไปแล้วคุณจะถูก Redirect ไปยังเว็บไซต์ PayPal UK"
