"Actions","İşlemler"
"Are you sure?","Emin misiniz ?"
"Date Added","Eklenme Tarihi"
"Error while marking as read. Please try again later.","Okundu olarak işaretlenirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while marking. Please try again later.","İşaretlenirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while removing. Please try again later.","Silinirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Last update","Son güncelleme"
"Mark as Read","Okundu Olarak Işaretle"
"Mark as read","Okundu olarak işaretle"
"Message","Mesaj"
"Message was successfully marked as read","Mesaj okundu olarak işaretlendi"
"Message was successfully removed","Mesaj silindi"
"Messages Inbox","Mesaj Gelen Kutusu"
"Notifications","Duyurular"
"Please select messages","Lütfen mesajları seçiniz"
"Read Details","Detayları Oku"
"Remove","Sil"
"Severity","Önem"
"Show List","Listeyi Göster"
"Show Toolbar","Araç Çubuğunu Göster"
"Total of %d record(s) were successfully marked as read","%d adet mesaj okundu olarak işaretlendi"
"Total of %d record(s) were successfully removed","%d adet mesaj silindi"
"Unable to proceed. Please, try again","İşlem yapılamadı. Lütfen daha sonra tekrar deneyiniz"
"Update frequency","Güncelleme aralığı"
"Use HTTPS to get feed","Veri akışı almak için HTTPS kullan"
"critical","kritik"
"major","büyük"
"minor","küçük"
"notice","not"
