" and "," ve "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Tam yol veya Magento kurulumu dizininde bir yer belirtiniz.Örnek: var/export)"
"(For US 2-letter state names)","(ABD için 2 harfli eyalet adları)"
"(If left empty will be auto-generated)","(Eğer boş bırakırsanız otomatik oluşturulur)"
"(Leave empty for first spreadsheet)","(İlk sayfa için boş bırakınız)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Eğer alınan dosyadaki mağaza kolonu boş ise ürünü bu mağazaya bağla.)"
"(Shift-)Click or drag to change value","(Shift-)Sol tık veya sürükleyerek değeri değiştirebilirsiniz"
"(Starting with)","(.. ile başlayan)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Eğer 'Hayır' seçerseniz, sadece eşleştirilmiş alanlar alınacak. Eşleme yaparken, 'kolon1', 'kolon2', vs. şeklinde eşleme yapabilirsiniz)"
"(You have to increase php memory_limit before changing this value)","(Bu değeri değiştirmeden önce php memory_limit değerini artırınız)"
"(\t for tab)","(Sekme için t kullanınız)"
"- Click on any of the time parts to increase it","- Artırmak istediğiniz zaman parçasına tıklayınız"
"- Hold mouse button on any of the above buttons for faster selection.","- Hızlı seçim için aşağıdaki butonların üstünde fareyi basılı tutunuz."
"- Use the %s buttons to select month","- Ay seçmek için %s butonlarını kullanınız"
"- Use the %s, %s buttons to select year","- Yıl seçmek için %s, %s butonlarını kullanınız"
"- or Shift-click to decrease it","- veya azaltmak için Shift-Sol tık basınız"
"- or click and drag for faster selection.","- veya hızlı seçim yapmak için tıklayıp sürükleyiniz."
"API:","API:"
"About the calendar","Takvim hakkında"
"Access Denied.","Erişim Engellendi."
"Account Created in:","Hesap Oluşturuldu :"
"Account Created on (%s):","Hesap Oluşturuldu (%s):"
"Account Created on:","Hesap Oluşturuldu :"
"Action","İşlem"
"Actions","İşlemler"
"Add","Ekle"
"Add Contents Path","İçerik yolunu ekle"
"Add Field with URL:","Adresle alan ekle :"
"Add Maintainer","Bakım Görevlisi Ekle"
"Add New Role","Rol Ekle"
"Add New Template","Tema Ekle"
"Add New User","Kullanıcı Ekle"
"Add PHP Extension dependency","PHP Eklenti bağımlılığı ekle"
"Add Package dependency","Paket Bağımlılığı ekle"
"Add Subpackage dependency","Alt Paket Bağımlılığı ekle"
"Add new store view map","Yeni mağaza görünüm haritası ekle"
"Add new website map","Yeni site haritası ekle"
"Address Type:","Adres Tipi :"
"All","Hepsi"
"All Websites","Tüm Siteler"
"All fields","Tüm Alanlar"
"Archive file name:","Arşiv Dosyası Adı :"
"Are you sure that you want to delete this template?","Bu şablonu silmek istediğinizden emin misiniz ?"
"Are you sure that you want to strip tags?","HTML etiketlerini temizlemek istediğinizden emin misiniz ?"
"Attribute Set Name:","Özellik Seti Adı :"
"Attributes","Özellikler"
"Available Products","Mevcut Ürünler"
"Big Image","Büyük Resim"
"Billing Address","Fatura Adresi"
"Bundle Items","Hediye Ürünler"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Değişken fiyatlı hediye ürün özel oluşturulmuş seçenekler içeremez. Seçenekler kaydedilmedi."
"CSV / Tab separated","CSV / Sekme ile ayrılmış"
"Card Verification Number","Kart Doğrulama Numarası (CVV)"
"Catalog","Katalog"
"Channel","Kanal"
"Channel:","Kanal:"
"Choose Store View","Mağaza Görünümü Seç"
"Client Session timeout (sec.)","İstemci Oturumu Zaman Aşımı (sn.)"
"Close","Kapat"
"Comments History","Yorum Geçmişi"
"Confirmed email:","Doğrulanmış Mail :"
"Connect with the Magento Community","Magento Topluluğu İle İletişim Kur"
"Contents","İçerik"
"Country:","Ülke :"
"Create New Staging Store View","Yeni Gösterilecek Mağaza Görünümü Ekle"
"Create a backup","Yedek Oluştur"
"Created <strong>%s</strong> items","<strong>%s</strong> kayıt oluşturuldu"
"Credit Card Number","Kredi Kartı Numarası"
"Credit Card Number: xxxx-%s","Kredi Kartı Numarası : xxxx-%s"
"Credit Card Type","Kredi Kartı Tipi"
"Credit Card Type: %s","Kredi Kartı Tipi: %s"
"Credit Memo History","Kredi Notu Geçmişi"
"Credit Memo Totals","Kredi Notu Toplamları"
"Current Configuration Scope:","Ayar Havuzu :"
"Current Release Information","Sürüm Bilgisi"
"Custom","Özel"
"Customer Group:","Müşteri Grubu :"
"Customer Since:","Üyelik Süresi :"
"Customers","Müşteriler"
"DHTML Date/Time Selector","DHTML Tarih/Saat Seçici"
"Dashboard","Genel Görünüm"
"Data Format","Veri Biçimi"
"Data transfer:","Veri Aktarımı :"
"Date selection:","Tarih Seçimi :"
"Date selector","Tarih Seçici"
"Date:","Tarih :"
"Decimal separator:","Ondalık Ayırıcı :"
"Default (Admin) Values","Varsayılan (Yönetici) Değerleri"
"Default Values","Varsayılan Değerler"
"Delete","Sil"
"Dependencies","Bağımlılıklar"
"Description:","Açıklama :"
"Direction:","Yön :"
"Display %s first","Önce %s göster"
"Distributed under GNU LGPL. See %s for details.","GNU LGPL lisansı ile dağıtılmaktadır. Detaylar için gözatınız : %s ."
"Done By:","Yapan :"
"Done by:","Yapan :"
"Download Remote File","Uzak dosya indir"
"Drag to move","Taşımak için sürükleyiniz"
"Edit Role","Rolü Düzelt"
"Edit User '%s'","Kullanıcı Düzelt '%s'"
"Email","Email"
"Email Preview","Email Önizleme"
"Email:","Email:"
"Enclose Values In:","Değerleri içine ekle :"
"Entity type:","Varlık tipi:"
"Excl. Tax","Vergi Hariç"
"Exclude","Hariç Tut"
"Expiration Date","Son Kullanma Tarihi"
"Expiration Date: %s/%s","Son Kullanma Tarihi : %s/%s"
"Export","Dışarı Ver"
"Export Filters","Filtreleri Dışarı Ver"
"Export to:","Verileceği Yer :"
"Export:","Dışarı ver :"
"Extension","Eklenti"
"Extensions","Eklentiler"
"FTP Host[:Port]","FTP Sunucu[:Port]"
"Field Mapping","Alan Eşleştirme"
"File Information","Dosya Bilgisi"
"File name:","Dosya Adı :"
"Final Price","Fiyat"
"Finished items creation.","Kayıt oluşturma tamamlandı."
"First Name:","Adı :"
"For latest version visit: %s","Son sürüm için bakınız : %s"
"From","Kimden"
"General Settings","Genel Ayarlar"
"Get help for this page","Bu sayfa için yardım al"
"Global Record Search","Genel Kayıt Arama"
"Go Today","Bugüne Git"
"Google Base Items","Google Base Ürünleri"
"Group:","Grup :"
"Help Us Keep Magento Healthy - Report All Bugs","Magento'yu daha sağlam yapmamız için bize yardımcı olun. Hataları rapor edin."
"Ignore","Gözardı Et"
"Images","Resimler"
"Import","Veri Al"
"Import Service","Veri Alma Hizmeti"
"In Database:","Veritabanında :"
"In File:","Dosyada :"
"Inactive","Pasif"
"Incl. Tax","Vergi Dahil"
"Include","Dahil et"
"Installed As","Kuruldu"
"Interactive","Etkileşimli"
"Interface Locale: %s","Arayüz Dili : %s"
"Invalid webservice adapter specified","Hatalı web hizmeti adaptörü belirtildi"
"Invalid webservice handler specified","Hatalı web hizmeti tutamacı belirtildi"
"Invoice History","Fatura Geçmişi"
"Invoice Totals","Fatura Toplamları"
"Issue Number","No"
"Issuer: %s","Yayınlayan : %s"
