"* Required Fields","* Doldurulması Zorunlu Alanlar"
"A new password was sent","Yeni şifre gönderildi"
"Account Dashboard","Hesap Kontrol Paneli"
"Account Information","Hesap Bilgisi"
"Account Sharing Options","Hesap Paylaşma Seçenekleri"
"Account information was successfully saved","Hesap bilgisi kaydedildi"
"Action","İşlem"
"Add New Address","Adres Ekle"
"Add New Customer","Müşteri Ekle"
"Add New Customer Group","Müşteri Grubu Ekle"
"Added From","Eklendiği Yer"
"Additional Address Entries","Ek Adresler"
"Address","Adres"
"Address Book","Adres Defteri"
"Address Information","Adres Bilgisi"
"Addresses","Adresler"
"Admin","Yönetici"
"All","Hepsi"
"All Store Views","Tüm Mağaza Görünümleri"
"All countries","Tüm ülkeler"
"Always optional","Sürekli isteğe bağlı"
"Amount","Miktar"
"Approved","Onaylandı"
"Are you sure that you want to remove this item?","Bunu silmek istediğinizden emin misiniz ?"
"Are you sure you want to cancel adding of this address?","Bu adres(ler)in eklenmesini iptal etmek istediğinizden  istediğinizden emin misiniz ?"
"Are you sure you want to delete this address?","Bu adresleri silmek istediğinizden emin misiniz ?"
"Are you sure?","Emin misiniz ?"
"Array of Entity collections is expected","Varlık listesi bekleniyor"
"Assign a customer group","Müşteri grubu eşleştir"
"Average Sale","Satış Ortalaması"
"Back","Geri"
"Back to Login","Giriş Sayfasına Dön"
"Bad request.","Hatalı istek."
"Bill to Name","Fatura İsmi"
"Billing Information","Fatura Bilgisi"
"Bought From","Satın Alındığı Yer"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","
Sitemizde hesap açarak, daha hızlı alışveriş yapabilir, siparişinizi birden fazla adrese gönderebilir, hesabınızdan bütün geçmiş bilgilerinize erişebilir ve daha bir çok özellikten faydalanabilirsiniz..."
"CSV","CSV"
"Can't save address","Adres kaydedilemiyor"
"Can't save customer","Müşteri kaydedilemiyor"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Müşteri hesapları sistem genelinde paylaşılamıyor. Çünkü iki veritabanında da aynı e-mail adresini kullanan müşteriler var."
"Cancel","İptal"
"Change Account Password","Hesap Şifresini Değiştir"
"Change Billing Address","Fatura Adresini Değiştir"
"Change Password","Şifre Değiştir"
"Change Shipping Address","Teslimat Adresini Değiştir"
"City","İlçe"
"Company","Firma"
"Config","Ayar"
"Confirm New Password","Yeni Şifre (Tekrar)"
"Confirm Password","Şifre (Tekrar)"
"Confirmation Link Email","Doğrulama Bağlantısı E-Maili"
"Confirmed","Doğrulandı"
"Contact Information","İletişim Bilgisi"
"Continue Shopping","Alışverişe Devam"
"Country","Ülke"
"Create","Oluştur"
"Create New Account Options","Yeni Hesap Seçenekleri Ekle"
"Create New Customer Account","Yeni Müşteri Hesabı"
"Create Order","Sipariş Oluştur"
"Create an Account","Üye Ol"
"Create customer","Müşteri Oluştur"
"Create customer address","Müşteri Adresi Ekle"
"Current Password","Eski Şifre"
"Customer","Müşteri"
"Customer Addresses","Müşteri Adresleri"
"Customer Api","Müşteri API si"
"Customer Configuration","Müşteri Ayarları"
"Customer Group","Müşteri Grubu"
"Customer Group was successfully deleted","Müşteri Grubu silindi"
"Customer Group was successfully saved","Müşteri Grubu kaydedildi"
"Customer Groups","Müşteri Grupları"
"Customer Information","Müşteri Bilgisi"
"Customer Login","Müşteri Girişi"
"Customer Since","Müşteri Geçmişi"
"Customer View","Müşteri Görünümü"
"Customer collection expected","Müşteri listesi bekleniyor"
"Customer doesn't have primary billing address","Müşterinin fatura adresi yok"
"Customer email already exists","Müşteri e-maili zaten sistemde kayıtlı"
"Customer website id must be specified, when using website scope.","Eğer web sitesi havuzu kullanıyorsanız, bu müşteri için web sitesi belirlemelisiniz."
"Customers","Müşteriler"
"Customers Only","Sadece Müşteriler"
"Customers Section","Müşteriler Bölümü"
"DD","GG"
"Date","Tarih"
"Date Added","Ekleme Tarihi"
"Date of Birth","Doğum Tarihi"
"Date of Birth is required.","Doğum Tarihi alanı zorunludur."
"Day","Gün"
"Days in Wishlist","Takip Listesinde Kalma Gün Sayısı"
"Default Addresses","Varsayılan Adresler"
"Default Billing Address","Varsayılan Fatura Adresi"
"Default Email Domain","Varsayılan E-Mail Domaini"
"Default Group","Varsayılan Grup"
"Default Shipping Address","Varsayılan Teslimat Adresi"
"Default Welcome Email","Varsayılan Karşılama Maili"
"Delete","Sil"
"Delete Address","Adresi Sil"
"Delete Customer","Müşteriyi Sil"
"Delete Customer Group","Müşteri Grubunu Sil"
"Delete customer","Müşteri Sil"
"Delete customer address","Müşteri Adresi Sil"
"Deleted Stores","Mağazaları Sil"
"Details","Detaylar"
"Disabled","Kapalı"
"Edit","Düzenle"
"Edit Account Info","Hesap Bilgisi Düzenle"
"Edit Account Information","Hesap Bilgisini Düzenle"
"Edit Address","Adresi Düzenle"
"Edit Address Entry","Adres Kaydını Düzenle"
"Edit Customer Group ""%s""","Müşteri Grubunu Düzenle ""%s"""
"Edit Customer Groups","Müşteri Gruplarını Düzenle"
"Edit Customer's Address","Müşteri Adresini Düzenle"
"Edit Group","Grubu Düzenle"
"Edit Newsletter Subscription","Duyuru Listesi Aboneliğini Düzenle"
"Edit Newsletters","Duyuru Listelerini Düzenle"
"Edit Personal Information","Kişisel Bilgiyi Düzenle"
"Email","Email"
"Email Address","Email Adresiniz"
"Email Sender","Email Göndericisi"
"Entity collection is expected","Mal listesi bekleniyor"
"Error during retrieval of option value: %s","Seçenek değeri alınırken hata oluştu : %s"
"Ext. Price","Ext. Fiyat"
"Failed to confirm customer account.","Müşteri hesabı onaylanamadı."
"Fax","Faks"
"First Name","Adınız"
"First name can't be empty","Adı alanı boş bırakılamaz"
"Forgot Email Sender","Şifremi Unuttum E-mail Göndericisi"
"Forgot Email Template","Şifremi Unuttum E-mail Teması"
"Forgot Your Password?","Şifrenizi mi unuttunuz ?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Kontrol panelinizden geçmiş işlemlerinizi görebilir, kişisel bilgilerinizi güncelleyebilir, şifrenizi değiştirebilirsiniz. Görmek veya düzeltmek istediğiniz şeylerle ilgili linkler aşağıdadır."
"General Subscription","Genel Abonelik"
"Global","Genel"
"Go to Address Book","Adres Defterine Git"
"Grand Total","Genel Toplam"
"Grand Total: %s","Genel Toplam: %s"
"Group","Grup"
"Group ""%s"" can not be deleted"," ""%s"" adlı grup silinemiyor"
"Group Information","Grup Bilgisi"
"Group Name","Grup Adı"
"Guest","Misafir"
"HTML","HTML"
"Hello, %s!","Hoşgeldiniz, %s!"
"ID","No"
"IP Address","IP Adresi"
"If you have an account with us, please log in.","Sitemize üyeyseniz lütfen giriş yapınız."
"Invalid attribute option specified for attribute %s (%s), skipping the record","%s (%s) için hatalı özellik seçeneği girildi, kayıt atlanıyor"
"Invalid attribute set specified, skipping the record","Hatalı özellik seti seçildi, kayıt atlanıyor"
"Invalid current password","Eski şifre hatalı"
"Invalid customer data","Hatalı müşteri verisi"
