" for more information or email us at "," detaylı bilgi için bize e-mail gönderin "
"# of Items (and above)","# Ürün Sayısı (ve aşağısı)"
"# of Items vs. Destination","# Ürün Sayısı ve Varış Yeri"
"Allow Shipping to multiple addresses","Birden fazla adrese teslimata izin ver"
"Calculate Handling Fee","Teslim Alma Ücretini Hesapla"
"Carrier:","Taşıyıcı:"
"City","İlçe"
"Close Window","Pencereyi Kapat"
"Condition","Durum"
"Country","Ülke"
"Date","Tarih"
"Delivered on:","Ulaştırıldığı Tarih :"
"Delivered to:","Ulaştırıldığı Alıcı :"
"Description","Açıklama"
"Displayed Error Message","Gösterilen hata mesajı"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Çift satır #%s (Ülke ""%s"", Bölge/Şehir ""%s"", Posta Kodu ""%s"" ve Değer ""%s"")"
"Enabled","Aktif"
"Error:","Hata:"
"Export","Dışarı Ver"
"Fixed","Sabit"
"Flat Rate","Düz Fiyat"
"Free Shipping","Ücretsiz Kargo"
"Handling Fee","Teslim Alma Ücreti"
"Import","Veri Al"
"Info:","Bilgi:"
"Invalid %s ""%s"" in the Row #%s","Hata %s ""%s"" #%s numaralı satırda"
"Invalid Country ""%s"" in the Row #%s","Hatalı ülke bilgisi ""%s"",  #%s numaralı satırda"
"Invalid Region/State ""%s"" in the Row #%s","Hatalı şehir bilgisi ""%s"",  #%s numaralı satırda"
"Invalid Shipping Price ""%s"" in the Row #%s","Hatalı kargo ücreti bilgisi ""%s"",  #%s numaralı satırda"
"Invalid Table Rate code for type %s: %s","%s için hatalı tablo oran kodu: %s"
"Invalid Table Rate code type: %s","Hatalı tablo oran kodu: %s"
"Invalid Table Rates File Format","Hatalı tablo oran dosya biçimi"
"Local Time","Yerel Saat"
"Location","Yer"
"Maximum qty allowed for Shipping to multiple addresses","Birden fazla adrese gönderim yapmak için izin verilen en fazla ürün adedi"
"Method name","Yöntem Adı"
"Minimum order amount","En az sipariş toplamı"
"N/A","Yok"
"None","Yok"
"Options","Seçenekler"
"Order Subtotal (and above)","Sipariş Ara Toplamı (veya aşağısı)"
"Origin","Çıkış Yeri"
"Per Order","Sipariş başına"
"Per Package","Paket başına"
"Percent","Yüzde"
"Price","Fiyat"
"Price vs. Destination","Fiyat veya Varış Yeri"
"Region/State","Bölge/Şehir"
"Service Type:","Hizme Tipi:"
"Ship to Specific countries","Belirlenen ülkelere gönderim"
"Ship to applicable countries","Mümkün olan bütün ülkelere gönderim"
"Shipment #","Kargo #"
"Shipped or billed on:","Kargolama veya Faturalama Yeri :"
"Shipping Methods","Teslimat Yöntemleri"
"Shipping Methods Section","Teslimat Yöntemleri Bölümü"
"Shipping Settings","Teslimat Ayarları"
"Shipping Settings Section","Teslimat Ayarları Bölümü"
"Show method if not applicable","Eğer uygulanabilir değilse metodu göster"
"Signed by:","İmzalayan :"
"Sort order","Sıralama"
"Status:","Durum :"
"Store Pickup","Mağazadan Teslim Alma"
"Table rates","Tablo oranları"
"The shipping module is not available for selected delivery country","Bu teslimat modülü seçilen ülke için kullanılamıyor"
"There is no tracking available for this shipment.","Bu kargo için izleme bilgisi kullanılamıyor."
"There is no tracking available.","İzleme yok."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Teslimat yöntemi kullanılamıyor. Bu yöntemi yine de kullanmak istiyorsanız bizimle bağlantı kurunuz."
"Title","Başlık"
"Track:","İz :"
"Tracking Number:","İzleme Numarası :"
"Tracking information is currently not available. Please ","İzleme bilgisi kullanılamıyor. Lütfen "
"Tracking information is currently unavailable.","İzleme bilgisi kullanılamıyor."
"Type","Tip"
"Weight (and above)","Ağırlık (ve aşağısı)"
"Weight vs. Destination","Ağırlık ve Varış Yeri"
"Weight:","Ağırlık:"
"ZIP/Postal Code","Zip/Posta Kodu"
"contact us","bizimle bağlantı kurun"
