"Attempt to add an invalid object","Attempt to add an invalid object"
"Attribute '%s' used in configurable products.","Атрибут '%s' використовується в конфігурованих товарах."
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Attribute used in configurable products.","Атрибут використовується в конфігурованих товарах."
"Attribute with the same code","Атрибут з ідентичним кодом"
"Data integrity: No header row found for attribute","Цілісність даних: Не знайдено рядка заголовку для атрибуту"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Default option value is not defined","Варіант значення за замовчуванням не заданий"
"EAV types and attributes","EAV types and attributes"
"Entity collection expected","Entity collection expected"
"Entity collections expected","Entity collections expected"
"Entity is not initialized","Entity is not initialized"
"Failed to load node %s from config.","Failed to load node %s from config."
"Frontend label is not defined","Мітка зовнішнього інтерфейсу не задана"
"Invalid alias, already exists in joined attributes","Невірний псевдонім. Це значення вже існує в приєднаних атрибутах"
"Invalid attribute name: %s","Невірна назва атрибута: %s"
"Invalid attribute requested: %s","Здійснено запит невірного атрибуту: %s"
"Invalid attribute type","Невірний тип атрибуту"
"Invalid character encountered in increment ID: %s","Невірний символ в ID інкримента: %s"
"Invalid data object key","Невірний ключ даних об'єкта"
"Invalid entity specified","Заданий невірний об'єкт"
"Invalid entity supplied","Доставлено невірний об'єкт"
"Invalid entity supplied: %s","Доставлено невірний об'єкт: %s"
"Invalid entity type","Невірний тип об'єкту"
"Invalid entity_id, skipping the record","Невірний entity_id, пропуск запису"
"Invalid entity_type specified: %s","Задано невірний entity_type : %s"
"Invalid foreign key","Невірний зовнішній ключ"
"Invalid joined fields","Невірно прєднані поля"
"Invalid store specified","Задана невірна група магазинів"
"Joined field or attribute expression with this alias is already declared","Joined field or attribute expression with this alias is already declared"
"Joined field with this alias (%s) is already declared","Joined field with this alias (%s) is already declared"
"Joined field with this alias is already declared","Joined field with this alias is already declared"
"Loaded %d records","Завантажено %d записів"
"No","Ні"
"No options found in config node %s","No options found in config node %s"
"Problem loading a record, aborting. Error: %s","Помилка завантаження запису, відміна операції. Помилка: %s"
"Problem loading the collection, aborting. Error: %s","Проблема завантаження колекції, відміна операції. Помилка: %s"
"Problem saving a record, aborting. Error: ","Помилка збереження запису, відміна операції. Помилка: "
"Problem saving the collection, aborting. Error: %s","Помилка збереження колекції, відміна операції. Помилка: %s"
"Saved ","Збережено "
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","The attribute code '%s' is reserved by system. Please, try another attribute code."
"Unknown parameter","Невідомий параметр"
"Valid store_id is expected!","Valid store_id is expected!"
"Value of attribute ""%s"" must be unique","Знчення атрибуту ""%s"" повинно бути унікальним"
"Wrong attribute ID","Невірний ID атрибуту"
"Wrong attribute group ID","Невірний ID групи атрибутів"
"Wrong attribute set ID","Невірний ID набору атрибутів"
"Wrong entity ID","Невірний ID об'єкту"
"Yes","Так"
