"Action","Action"
"Add Sitemap","Add Sitemap"
"Always","Завжди"
"CMS Pages Options","Налаштування сторінок CMS"
"Categories Options","Налаштування категорій"
"Daily","Щоденно"
"Edit Sitemap","Редагувати мапу сайту"
"Enabled","Увімкнено"
"Error Email Recipient","Помилка у Email адресаті"
"Error Email Sender","Помилка у Email відправнику"
"Error Email Template","Помилка у шаблоні Email"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Filename","назва файлу"
"Frequency","Частота"
"Generate","Generate"
"Generation Settings","Налаштування створення"
"Google Sitemap","Мапа сайту Google"
"Google Sitemap Section","Google Sitemap Section"
"Hourly","Щогодини"
"ID","ID"
"Last Time Generated","Час останнього створення"
"Link for Google","Лінк для Google"
"Monthly","Щомісячно"
"Never","Ніколи"
"New Sitemap","Нова мапа сайту"
"Path","Шлях"
"Please create the specified folder ""%s"" before saving the sitemap.","Please create the specified folder ""%s"" before saving the sitemap."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","Пріоритет"
"Priority must be between 0 and 1","Межі пріоритету повинні бути встановлені від 0 до 1"
"Products Options","Налаштування продуктів"
"Sitemap","Мапа сайту"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" has been successfully generated"
"Sitemap generate Warnings","Попередження при створенні мапи сайту"
"Sitemap was successfully deleted","Мапа сайту була успішно видалена"
"Sitemap was successfully saved","Мапа сайту була успішно збережена"
"Start Time","Дата початку"
"Store View","Магазин"
"This sitemap no longer exists","Дана мапа сайту більше не існує"
"Unable to find a sitemap to delete","Неможливо знайти мапу сайту для видалення"
"Unable to find a sitemap to generate","Unable to find a sitemap to generate"
"Unable to generate a sitemap","Unable to generate a sitemap"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"Weekly","Щотижнево"
"Yearly","Щорічно"
