"* Required Fields","* 必填栏目"
"Comment","内容"
"Contact Form","联系表单
Contact Information"""
"Contact Information","联系信息"
"Contact Us","联系我们"
"Contacts","联系"
"Contacts Section","联系单元"
"Email","电邮"
"Email Options","电邮选项"
"Email Sender","发件人"
"Email Template","电邮模版"
"Enable Contact Us","启用联系我们"
"Name","名字"
"Send Emails To","发送邮件给"
"Submit","提交"
"Telephone","电话"
"Unable to submit your request. Please, try again later","无法提交您的问题，请稍后重试。"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","您的问题已提交，我们会尽快回复您。感谢您联系我们！"
"Contact Us","Contact Us"
"Contact Information","Contact Information"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"Comment","留言"
"* Required Fields","* Required Fields"
