"--Please Select--","--请选择--"
"<label>Make Check payable to:</label> %s","<label>支票抬头：</label> %s"
"<label>Make Check payable to</label>: %s","<label>支票收款人</label>：%s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","无法设置支付方式代码：%s"
"Can not retrieve payment info model object.","无法获取支付信息模块对象。"
"Can not retrieve payment method instance","无法获取支付方式实例"
"Can not retrieve payment method model object.","无法获取支付方式模块对象。"
"Card Verification Number","信用卡检验码"
"Check / Money order","支票/汇票"
"Credit Card Number","信用卡号码"
"Credit Card Number: %s","信用卡号码：%s"
"Credit Card Number: xxxx-%s","信用卡号码: xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型： %s"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡核对"
"Enabled","启用"
"Expiration Date","有效期"
"Expiration Date: %s/%s","有效期：%s/%s"
"Make Check payable to","支票收款人"
"Make Check payable to: %s","支票抬头: %s"
"Maximum Order Total","最高订单总额"
"Minimum Order Total","最低订单总额"
"Month","月份"
"Name on Card","持卡人名字"
"Name on the Card: %s","持卡人名字：%s"
"New order status","新订单状态"
"Payment Methods","支付方式"
"Payment Methods Section","支付方式单元"
"Payment from Specific countries","指定国家支付"
"Payment from applicable countries","适用国家支付"
"Purchase Order Number","订购单号"
"Purchase Order Number: %s","订购单号: %s"
"Purchase order","购货合同"
"Saved CC","已储存 CC"
"Send Check to","支票寄给"
"Send Check to:","支票寄给："
"Sort order","排序"
"Title","标题"
"What is this?","这是什么？"
"Year","年份"
"Zero Subtotal Checkout","零额结帐"
