"ALL","全部"
"ANY","之一"
"Add","增添"
"Apply","应用"
"Description: %s","说明： %s"
"Expire at: %s","有效期： %s"
"FALSE","负"
"If %s of these conditions are %s:","如%s的条件为%s："
"Invalid discount amount.","错误的折扣价格"
"MATCHING ALL","全部匹配"
"MATCHING ANY","任意匹配"
"NOT MATCHING ALL","不全部匹配"
"NOT MATCHING ANY","不任意匹配"
"Name: %s","%s"""
"Open Chooser","打开选择"
"Perform following actions","执行以下操作"
"Please choose a condition to add...","请选择要增加的条件..."
"Please choose an action to add...","请选择要增加的操作..."
"Remove","删除"
"Start at: %s","开始： %s"
"TRUE","正"
"by","于"
"contains","含有"
"does not contain","不含有"
"equals or greater than","等于或大于"
"equals or less than","等于或小于"
"greater than","大于"
"is","为"
"is not","不是"
"is not one of","非其中之一"
"is one of","乃其中之一"
"less than","少于"
"to","给"
