"-- Please Select --","-- 请选择 --"
"Add New Class","增加新税种"
"Add New Tax Rate","增加新税率"
"Add New Tax Rule","增加新税则"
"Apply Discount On Prices Including Tax","折扣在含税价格上进行"
"Apply Tax After Discount","折扣后计算税收"
"Apply Tax On","对如下价格计算税收"
"Are you sure you want to do this?","确定要这么做？"
"Back","返回"
"CSV","CSV"
"Calculation","计算"
"Catalog prices include tax","目录价格包含税收"
"Class Name","税种名称"
"Code","代号"
"Country","国家"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","国家"
"Custom price if available","自定义价格（若有）"
"Customer Tax Class","顾客税种"
"Customer Tax Class Information","顾客税种信息"
"Customer Tax Classes","顾客税种"
"Default Country","默认国家"
"Default Post Code","默认邮编"
"Default State","默认省份"
"Default Tax Origin Calculation","默认税收地计算"
"Delete Class","删除税种"
"Delete Rate","删除税率"
"Delete Rule","删除税则"
"Display","显示"
"Display Cart/Order Prices","显示购物车/订单价格"
"Display Product Prices","显示商品价格"
"Display Shipping Prices","显示配送价格"
"Display Zero Tax Subtotal","显示0税小计""
Edit Class"""
"Display full tax summary","显示完整税收说明"
"Edit Class","修改税率"
"Edit Class '%s'","修改税种'%s'"
"Edit Rule","修改税则"
"Edit Tax Rate","修改税率"
"Error while deleting this class. Please try again later.","删除该税种时出错，请稍后重试。"
"Error while deleting this rate. Incorrect rate ID","删除该税率时出错，税率编号不正确"
"Error while deleting this rate. Please try again later.","删除该税率时出错，请稍后重试。"
"Error while deleting this tax rule. Please try again later.","删除该税则时出错，请稍后重试。"
"Error while saving this rate. Please try again later.","保存该税率时出错，请稍后重试。"
"Error while saving this tax class. Class with the same name ","保存该税种时出错，税种名重复"
"Error while saving this tax class. Please try again later.","保存该税种时出错，请稍后重试。"
"Error while saving this tax rule. Please try again later.","保存该税则时出错，请稍后重试。"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","保存此税则出现错误。此商品税种、客户税种及税率组合"
"Excl. Tax","不含税"
"Excl. Tax:","不含税:"
"Excluding tax","不含税"
"Export Tax Rates","导出税率"
"Ignored when 'Apply Tax After Discount' option is enabled","若启用“在折扣后计算税收”选项，此项将被忽略"
"Import / Export Tax Rates","导入 / 导出税率"
"Import Tax Rates","导入税率"
"Inc. Tax","含税"
"Incl. Tax","含税"
"Incl. Tax:","含税:"
"Including and excluding tax","含税和不含税"
"Including tax","含税"
"Incorrect rate Data","税率数据不正确"
"Invalid data for tax rate calculation","税率计算数据不正确"
"Invalid file format upload attempt","上传文件格式错误"
"Invalid file upload attempt","上传文件格式错误"
"Manage Customer Tax Classes","顾客税种管理"
"Manage Product Tax Classes","商品税种管理"
"Manage Tax Rates","税率管理"
"Manage Tax Rules","税则管理"
"Manage Tax Zones & Rates","管理税区和税率"
"Name","名字"
"New Class","新税种"
"New Rule","新税则"
"New Tax Rate","新税率"
"None","无"
"One of the country has invalid code.","某个国家代号错误"
"Original price only","仅限原价"
"Please select Country","请选择国家"
"Please select County","请选择国家"
"Please select State","请选择省份"
"Priority","优先级"
"Product Tax Class","商品税种"
"Product Tax Class Information","商品税种信息"
"Product Tax Classes","商品税种"
"Rate","税率"
"Reset","重置"
"Sales","销售"
"Save Class","保存税种"
"Save Rate","保存税率"
"Save Rule","保存税则"
"Shipping prices include tax","配送价格包含税收"
"Sort Order","排序"
"State","省份"
"State/Region","省份/地区"
"Tax","税"
"Tax Based On","税收标准"
"Tax Class for Shipping","配送税种"
"Tax Classes","税种"
"Tax Identifier","税号"
"Tax Rate","税率"
"Tax Rate Information","税率信息"
"Tax Rule Information","税则信息"
"Tax Rules","税则"
"Tax Section","税单元"
"Tax Titles","税率标题"
"Tax class was successfully deleted","成功删除税种"
"Tax class was successfully saved","成功保存税种"
"Tax rate was successfully deleted","成功删除税率"
"Tax rate was successfully imported","成功导入税率"
"Tax rate was successfully saved","成功保存税率"
"Tax rates at the same priority are added, others are compounded.","处于同一优先级的税率将被添加，其余将被累加。"
"Tax rule was successfully deleted","成功删除税则"
"Tax rule was successfully saved","成功保存税则"
"This class no longer exists","此税种不存在"
"This rule no longer exists","此税则不存在"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","此税种用于%d分组，不能删除。"
"You cannot delete this tax class as it is used for %d products.","此税种用于%d商品，不能删除。"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","此税种用于税则中，不能删除。先删除该税则再删除此税种。"
"Zip/Post Code","邮编"
