"Action","Action"
"Add Sitemap","增加網站地圖"
"Always","總是"
"CMS Pages Options","CMS頁面選項"
"Categories Options","分類選項"
"Daily","每日"
"Edit Sitemap","修改網站地圖"
"Enabled","激活"
"Error Email Recipient","錯誤日誌的電子郵件收件人"
"Error Email Sender","錯誤日誌的電子郵件發件人"
"Error Email Template","錯誤日誌的電子郵件模板"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Filename","文件名"
"Frequency","頻率"
"Generate","Generate"
"Generation Settings","基本設置"
"Google Sitemap","Google網站地圖"
"Google Sitemap Section","Google Sitemap Section"
"Hourly","每小時"
"ID","編號"
"Last Time Generated","最後生成時間"
"Link for Google","Google鏈接"
"Monthly","每月"
"Never","從未"
"New Sitemap","新建網站地圖"
"Path","路徑"
"Please create the specified folder ""%s"" before saving the sitemap.","Please create the specified folder ""%s"" before saving the sitemap."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","優先級"
"Priority must be between 0 and 1","優先級必須為0到1之間"
"Products Options","商品選項"
"Sitemap","網站地圖"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" has been successfully generated"
"Sitemap generate Warnings","生成網站地圖時的警告"
"Sitemap was successfully deleted","成功刪除網站地圖"
"Sitemap was successfully saved","成功保存網站地圖"
"Start Time","開始時間"
"Store View","商店界面"
"This sitemap no longer exists","本網站地圖不存在"
"Unable to find a sitemap to delete","沒有找到要刪除的網站地圖"
"Unable to find a sitemap to generate","Unable to find a sitemap to generate"
"Unable to generate a sitemap","Unable to generate a sitemap"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"Weekly","每週"
"Yearly","每年"
