"# of Uses","使用次數"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","操作"
"Actions","操作"
"Add New Tag","增加新標籤"
"Add Tags","增加標籤"
"Add Your Tags:","增加您的標籤： "
"Add to Cart","加入購物車"
"Add to Wishlist","加入收藏"
"All Tags","所有標籤"
"Approved","已批准"
"Are you sure that you want to delete this tag?","您確認要刪除該標籤嗎？ "
"Are you sure you want to delete this tag?","您確認要刪除該標籤嗎？ "
"Are you sure you want to do this?","您確認要這麼做嗎？ "
"Are you sure?","您確認嗎？ "
"Back","返回"
"Back to Tags List","返回標籤列表"
"Back to view Tag","返回查看標籤"
"Block Information","方框信息"
"CSV","CSV "
"Change status","修改狀態"
"Click on a tag to view your corresponding products.","點擊標籤查看相應的商品。 "
"Country","Country "
"Customer Since","註冊日期"
"Customers","客戶"
"Customers Tagged '%s'","客戶標籤'%s' "
"Delete","刪除"
"Delete Tag","刪除標籤"
"Disabled","禁用"
"Edit Tag","修改標籤"
"Edit Tag '%s'","修改標籤'%s' "
"Email","電子郵件"
"First Name","名字"
"General Information","基本信息"
"Grid","格子"
"ID","編號"
"Last Name","姓氏"
"List","列表"
"My Recent Tags","我最近的標籤"
"My Tags","我的標籤"
"Name","名稱"
"New Tag","新標籤"
"No matches found.","沒有匹配的。 "
"Other people marked this product with these tags:","其它客戶對該商品的標籤： "
"Pending","待審"
"Pending Tags","待審標籤"
"Popular","熱門"
"Popular Tags","熱門標籤"
"Popularity","熱門度"
"Price","價格"
"Product Name","商品名稱"
"Product SKU","商品SKU "
"Product Tags","商品標籤"
"Products","商品"
"Products Tagged with '%s'","標記為'%s'的商品"
"Products tagged with '%s'","標記為'%s'的商品"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","標記為'%s'的商品(<a href='%s'>RSS</a>) "
"SKU","SKU "
"Save Tag","保存標籤"
"Search Results for '%s' (<a href='%s'>RSS</a>)","%s'的搜索結果(<a href='%s'>RSS</a>) "
"Search Terms","Search Terms"
"Status","狀態"
"Tag","標籤"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","標籤信息"
"Tag Name","標籤名稱"
"Tag Name: %s","標籤名稱：%s "
"Tag can't be empty.","Tag can't be empty. "
"Tagged in","登記的標籤"
"Tags","標籤"
"Tags Aren't Available","標籤不可用"
"Tags:","標籤： "
"Telephone","電話"
"Thank you. Your tag has been accepted for moderation.","多謝，您的標籤已加入系統審核。 "
"Unable to find any products tagged with '%s' in the current store","本商店沒有找到任何標記為'%s'的商品"
"Unable to remove tag. Please, try again later.","無法刪除標籤，請稍後再試。 "
"Unable to save tag(s)","無法保存標籤"
"Unable to save your tag. Please, try again later.","無法保存標籤，請稍後再試。 "
"Use spaces to separate tags. Use single quotes (') for phrases.","用空格分開標籤，短語用單引號(')。 "
"Uses","使用"
"View All","View All"
"View All Tags","查看所有標籤"
"View Customers","查看客戶"
"View Products","查看商品"
"Visible In","可見於"
"XML","XML "
"You have not tagged any products yet.","您還沒有任何商品標籤。 "
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","郵編"
"You have not tagged any products yet.","You have not tagged any products yet."
